bootstrap_sample,selected_trace_indices,fit_start_ns,fit_stop_ns,ambient_temperature_K,S_e_mW_per_K,C_th_pJ_per_K,tau_th_ns,fit_rmse_K
172.0,"2,1,1",17.0,33.0,314.2798930834095,0.0037330863854195618,0.03589866356345065,9.616349544886301,0.9581058744417225
173.0,"1,2,1",14.0,35.0,314.3001185711363,0.003439593119658871,0.04893444373799022,14.226811729069686,1.1097566674278752
174.0,"2,2,1",13.0,34.0,314.3318120814939,0.003444817453620638,0.05160970023692716,14.98183893102473,1.1088120803005315
175.0,"2,1,0",14.0,34.0,314.35926278450404,0.0036568934064303412,0.04266319650638645,11.666513558029004,1.200751663673422
176.0,"1,1,2",17.0,33.0,314.4924751529342,0.0038457436460178434,0.05737396187468918,14.918821210066424,0.8932271301059166
177.0,"0,1,0",17.0,33.0,314.4107647891617,0.0036801648289616767,0.042399718601445084,11.521146625763434,1.0160310556356256
178.0,"0,2,1",13.0,33.0,314.26875253379575,0.0035810578494722784,0.04061312314042067,11.341096638917914,1.400902850286625
179.0,"1,1,2",13.0,36.0,314.3532247368093,0.0038885216156422085,0.04117432341041982,10.588683175834598,1.3095390049960616
180.0,"1,1,0",14.0,35.0,314.2912478997701,0.00351191529221903,0.04642756215446786,13.220011956818087,1.2594999077113072
181.0,"2,1,1",13.0,34.0,314.5349631195812,0.003657819278573737,0.058196114516614536,15.910057355077,1.166315412350364
182.0,"1,1,2",15.0,36.0,314.4575069151882,0.003824560567071185,0.03416931015491851,8.934179379746382,1.2858791476798317
183.0,"0,1,1",13.0,33.0,314.5052057476679,0.0035881489072931228,0.061172494650812335,17.048482722240333,1.1949936851843286
184.0,"2,2,2",15.0,35.0,314.48696115764074,0.0034154002567337986,0.0721791869048674,21.133448931075943,1.2125735725837603
185.0,"2,0,2",15.0,34.0,314.3183433217064,0.0037917998819244157,0.033811931256485246,8.917119127954876,1.2234332739535445
186.0,"1,0,2",16.0,37.0,314.4104717549834,0.0035353588609903044,0.04484441110206989,12.684542889518244,1.1478310420125428
187.0,"0,2,2",17.0,35.0,314.30124720117084,0.003516252802689032,0.04029925914391931,11.460853756903004,1.11350877461293
188.0,"2,1,2",14.0,36.0,314.34231789132735,0.0034637227187634045,0.05859187600590624,16.915867915323293,1.183198791626861
189.0,"2,2,2",13.0,35.0,314.35034104902473,0.003770001578575022,0.05756679780009019,15.269701245549394,1.610625068958882
190.0,"1,1,1",15.0,35.0,314.36967675363167,0.0037197546117586793,0.04211852815769289,11.322931901085669,0.8526033622266359
191.0,"2,1,0",13.0,33.0,314.3878622491952,0.003500242471430329,0.04059175588376378,11.596841137458823,1.2084382365877937
192.0,"1,2,0",15.0,36.0,314.35046737482435,0.0035869147037431793,0.03645509086952519,10.163355942498974,1.1258261704948953
193.0,"2,1,1",17.0,35.0,314.44144913298754,0.0036148543546513233,0.03331526831009397,9.216213169757832,1.0038568140154327
194.0,"1,2,1",13.0,36.0,314.474830190656,0.003540271404084308,0.07343435401465284,20.742577512541487,1.2908128915325665
195.0,"2,0,2",13.0,34.0,314.4776290218545,0.003919923816426911,0.05961296810785423,15.207685378485913,1.6511179347590268
196.0,"2,1,1",15.0,33.0,314.33215701879,0.0038023207580750425,0.062312068776918715,16.38790431990402,1.1188887295025638
197.0,"1,2,0",16.0,35.0,314.52474750744665,0.003790056027261281,0.02794005219384884,7.371936454997079,1.382393999326321
198.0,"0,0,1",16.0,34.0,314.27215431894484,0.003881822061895572,0.036423020586581124,9.3829701634482,1.0835740333859627
199.0,"0,2,2",14.0,35.0,314.5143416895893,0.003606415301414779,0.06625517599382012,18.371477064171877,1.1046174202997692
200.0,"2,1,0",13.0,35.0,314.5044136811628,0.00362452930966691,0.07872631978710741,21.720425760425776,1.4455859287218875
201.0,"0,0,0",15.0,33.0,314.4843115703243,0.0038228842220261617,0.04377029926327877,11.449548749368123,1.0910521568499962
202.0,"1,1,1",16.0,37.0,314.51078956188917,0.004096731896859896,0.045433392210425805,11.090155117363194,1.081605236590104
203.0,"1,2,0",16.0,37.0,314.51728444231935,0.00363919450252897,0.04954582383692711,13.614502825418217,1.1409479458432108
204.0,"0,2,1",17.0,35.0,314.45739410940536,0.0036666913530688733,0.043307317557644734,11.811007087192722,1.0022590658802821
205.0,"0,0,1",15.0,35.0,314.2876065716583,0.003498638238890238,0.09314428212615401,26.62301037323002,1.22460553550552
206.0,"0,1,1",15.0,35.0,314.4527422723232,0.0038275308787540704,0.04148804566636092,10.839375822322829,1.4326287754353202
207.0,"1,2,1",16.0,36.0,314.3303270927195,0.003715364067417601,0.03185393572714131,8.57357048976406,1.114492320343958
208.0,"2,2,1",17.0,35.0,314.3986869604306,0.0034951692138767846,0.055012880458007785,15.739690152794747,0.9353737406423855
209.0,"2,0,2",16.0,36.0,314.329506267887,0.003768299503694527,0.03470013061782652,9.208432234169742,1.3341349595514185
