I_target_uA,C_pF,C_th_mW_ns_per_K,S_e_mW_per_K,T0_K,T_init_K,R_init_ohm,R_fast_ohm,tau_init_ns,tau_fast_ns,recommended_dt_ns,dt_ns,dt_over_tau_fast,dt_over_tau_init,dT_step_over_reversal,estimated_steps,feasible,turn_count,pulse_turn_count,n_cycles,V_pp_mV,V_std_mV,baseline_mean_mV,plateau_mean_mV,plateau_std_mV,onset_overshoot_mV,onset_undershoot_mV,turnoff_undershoot_mV,dominant_freq_MHz,spectral_purity,period_cv,amplitude_cv,late_to_early_vpp,unstable,zigzag,oscillatory,trace_score
650.0,91.11308068401571,75.75616158579514,0.04533307378751727,334.24314481631075,340.2212904211137,21.4353117628287,18.197838136784316,1.9530372901336424,1.6580610944314875,0.04974183283294462,0.04974183283294462,0.03,0.025468962156652366,0.0036207752900836395,12062.28170190409,1.0,0.0,0.0,0.0,2.004395322329218,0.578846941303341,0.0,16.158769436355925,0.3145222573993467,-0.7470717873519828,16.158769436355925,16.15876943635528,3.572104270879586,0.7495387103174663,inf,inf,1.1596403469119383,0.0,0.0,0.0,0.135
850.0,91.11308068401571,75.75616158579514,0.04533307378751727,334.24314481631075,340.2212904211137,21.4353117628287,18.197838136784316,1.9530372901336424,1.6580610944314875,0.04974183283294462,0.04974183283294462,0.03,0.025468962156652366,0.0036207752900836395,12062.28170190409,1.0,0.0,0.0,0.0,2.51428746690247,0.7261638791940598,0.0,21.077403448546946,0.39429845818323755,-0.9394733963693618,21.077403448546946,21.077403448546228,3.572104270879586,0.7495397910003726,inf,inf,1.1483965228210355,0.0,0.0,0.0,0.135
1050.0,91.11308068401571,75.75616158579514,0.04533307378751727,334.24314481631075,340.2212904211137,21.4353117628287,18.197838136784316,1.9530372901336424,1.6580610944314875,0.04974183283294462,0.04974183283294462,0.03,0.025468962156652366,0.0036207752900836395,12062.28170190409,1.0,0.0,0.0,0.0,2.9426304575451425,0.8499572451553838,0.0,25.954563759853944,0.461105158501496,-1.1029525135518412,25.954563759853944,25.954563759853222,3.572104270879586,0.749541804467212,inf,inf,1.134418407915604,0.0,0.0,0.0,0.135
1250.0,91.11308068401571,75.75616158579514,0.04533307378751727,334.24314481631075,340.2212904211137,21.4353117628287,18.197838136784316,1.9530372901336424,1.6580610944314875,0.04974183283294462,0.04974183283294462,0.03,0.025468962156652366,0.0036207752900836395,12062.28170190409,1.0,0.0,0.0,0.0,3.2746218727014664,0.945933974503502,0.0,30.781815412291316,0.5125999044203359,-1.2318974268541076,30.781815412291316,30.781815412290648,3.572104270879586,0.7495451654902798,inf,inf,1.11787886130601,0.0,0.0,0.0,0.135
1450.0,91.11308068401571,75.75616158579514,0.04533307378751727,334.24314481631075,340.2212904211137,21.4353117628287,18.197838136784316,1.9530372901336424,1.6580610944314875,0.04974183283294462,0.04974183283294462,0.03,0.025468962156652366,0.0036207752900836395,12062.28170190409,1.0,0.0,0.0,0.0,3.4979059204152136,1.0104993947141585,0.0,35.55149738045131,0.5468427628534196,-1.3213900437969954,35.55149738045131,35.551497380450726,3.572104270879586,0.7495503370181141,inf,inf,1.0989736789275966,0.0,0.0,0.0,0.135
1650.0,91.11308068401571,75.75616158579514,0.04533307378751727,334.24314481631075,340.2212904211137,21.4353117628287,18.197838136784316,1.9530372901336424,1.6580610944314875,0.04974183283294462,0.04974183283294462,0.03,0.025468962156652366,0.0036207752900836395,12062.28170190409,1.0,0.0,0.0,0.0,3.602765998741056,1.0408168958939759,0.0,40.25681529891142,0.5623336890763878,-1.3672849825166864,40.25681529891142,40.25681529891094,3.572104270879586,0.7495578118613522,inf,inf,1.0779147310777022,0.0,0.0,0.0,0.135
1850.0,91.11308068401571,75.75616158579514,0.04533307378751727,334.24314481631075,340.2212904211137,21.4353117628287,18.197838136784316,1.9530372901336424,1.6580610944314875,0.04974183283294462,0.04974183283294462,0.03,0.025468962156652366,0.0036207752900836395,12062.28170190409,1.0,0.0,0.0,0.0,3.5822114072793525,1.034838527870702,0.0,44.891910528451355,0.558033712666181,-1.3662658285566778,44.891910528451355,44.89191052845098,3.572104270879586,0.7495680944653755,inf,inf,1.0549221694118374,0.0,0.0,0.0,0.135
50.0,84.25309644612175,27.037216599403326,0.03696762129914227,342.62161863911854,342.62161863911854,18.935836222689055,18.197838136784316,1.5954028355581864,1.5332242116494015,0.04599672634948204,0.04599672634948204,0.03,0.02883079139908203,0.0033481639237193457,13044.406583225384,1.0,1.0,1.0,0.0,8.764332050992252e-06,2.5873667662996992e-06,0.0,0.946785812970984,1.3682302333934106e-06,5.072189016019912e-06,0.946785812970984,0.946785812970984,3.5716572430941014,0.7494955588480705,inf,inf,0.8781317790130078,0.0,0.0,0.0,0.12677389508337802
250.0,84.25309644612175,27.037216599403326,0.03696762129914227,342.62161863911854,342.62161863911854,18.935836222689055,18.197838136784316,1.5954028355581864,1.5332242116494015,0.04599672634948204,0.04599672634948204,0.03,0.02883079139908203,0.0033481639237193457,13044.406583225384,1.0,1.0,1.0,0.0,0.001116114636971588,0.0003252349524997052,0.0,4.733210883220518,0.00017034022189858252,0.0006569703897065793,4.733210883220518,4.733210883220518,3.5716572430941014,0.7497358813421643,inf,inf,0.8401286810087525,0.0,0.0,0.0,0.1242086859680908
450.0,84.25309644612175,27.037216599403326,0.03696762129914227,342.62161863911854,342.62161863911854,18.935836222689055,18.197838136784316,1.5954028355581864,1.5332242116494015,0.04599672634948204,0.04599672634948204,0.03,0.02883079139908203,0.0033481639237193457,13044.406583225384,1.0,0.0,1.0,0.0,0.0065022619234884615,0.0018816145856035951,0.0,8.516784588485812,0.0009841246220104326,0.0038624886322260465,8.516784588485812,8.516784588485812,3.5716572430941014,0.7497514976779583,inf,inf,0.8233118508140956,0.0,0.0,0.0,0.12307354992995145
