evaluation,stage,C_pF,C_th_pJ_per_K,S_e_mW_per_K,T0_K,Tc_K,w_K,beta_per_K,gamma,objective_total,objective_waveform,objective_mean_voltage,objective_amplitude,objective_relative_amplitude,objective_spectrum,objective_frequency,objective_classification,objective_false_positive,objective_sustain,objective_edge,objective_prior,best_total_so_far,global_evaluations,fit_mode
348,global,5.967027503776238,0.04258806329604439,0.003739548321600341,314.37838997600346,333.3295878863169,6.632342248278356,0.3101514500619793,0.30606228051319073,400.748887404288,0.9710956349379727,0.9702603104249439,8.308979751351714,1.2431086012413701,0.569772924516134,1.8112694529040116,0.15,0.0,1.106938338081536,1.4115754822548794,0.0,38.975691012816384,352,relaxed
349,global,4.433894089616162,0.03436766406334375,0.0037350275123713157,314.3088505708635,333.3063769821375,7.052709002925997,0.3112658893926092,2.2235846042409824,954.8459126766209,2.0588096653971184,0.6323464522168467,41.88548536147662,2.756391759533847,0.4373756612730525,0.8489353495577318,0.2,0.15,8.357299293588763,1.4243274606418748,0.0,38.975691012816384,352,relaxed
350,global,8.386550226349165,0.046957819181893984,0.0038681514564167683,314.29565376934016,333.51624696775843,7.005850120783868,0.2933151685294897,0.27643708740883666,164.75540048631137,1.2756537413722984,0.8594866855829828,14.992647364832598,1.9206717621507097,0.5535140990114064,1.2199670810982703,0.05,0.0,2.817340868598947,1.4947508289757665,0.0,38.975691012816384,352,relaxed
351,global,4.022885274800686,0.02292169029786619,0.003599242083927109,314.3480023311793,333.3208612501027,7.079638286523812,0.2966779826937318,0.18424287716413246,658.4978620939485,1.3474081419459831,1.0771835073580742,11.3884354764989,1.4664714112797188,0.8645351498585774,3.373844837824342,0.25,0.0,0.3442397357475547,1.1935206669964977,0.0,38.975691012816384,352,relaxed
352,global,4.802969905861378,0.04026298278469395,0.003544914866055876,314.31547589199107,333.1879369139825,7.126918701444988,0.3198885081540189,2.6442134160644732,1223.5462934319075,2.2858620188253447,0.6398343715285881,58.63456335099308,3.063127139704633,0.6344632821588437,1.8741474812625043,0.45,0.0,5.146515072530698,1.4816340780628932,0.0,38.975691012816384,352,relaxed
353,local,6.835494476281914,0.044214193020215925,0.003712762043427252,314.363069805982,333.3384172420717,7.041456087548133,0.314437701821341,0.15696370990041864,38.975691012816384,1.3110249978787059,1.0151391039783573,11.47907617038164,1.5038477004807462,0.6790259412929911,4.954301098747633,0.0,0.0,2.219947244107969,1.4534695854521773,0.0,38.975691012816384,352,relaxed
354,local,11.458980337503153,0.044214193020215925,0.003712762043427252,314.363069805982,333.3384172420717,7.041456087548133,0.314437701821341,0.15696370990041864,1558.4299698009604,1.8317332644522506,0.8835276896613786,24.65000700112615,2.6011735265406166,0.7342995125823919,2.6323993701294826,0.4,0.2,2.1281828150878193,1.5144966205882469,0.0,38.975691012816384,352,relaxed
355,local,18.541019662496844,0.044214193020215925,0.003712762043427252,314.363069805982,333.3384172420717,7.041456087548133,0.314437701821341,0.15696370990041864,1823.064205647467,2.2190539436507435,0.586466292174539,34.68757580444851,2.736776746983363,0.7554854891857499,4.185972807637158,0.5,0.2,2.2493263788533233,1.5744903278055105,0.0,38.975691012816384,352,relaxed
356,local,7.082039324993691,0.044214193020215925,0.003712762043427252,314.363069805982,333.3384172420717,7.041456087548133,0.314437701821341,0.15696370990041864,41.084217168213485,1.3477909899363545,1.0310209096785385,12.551844640526983,1.6227309642893837,0.7134387356729959,4.6741052796251115,0.0,0.0,2.6185680255347155,1.452961823946899,0.0,38.975691012816384,352,relaxed
357,local,4.376941012509464,0.044214193020215925,0.003712762043427252,314.363069805982,333.3384172420717,7.041456087548133,0.314437701821341,0.15696370990041864,643.7341214896181,0.8423952359471546,1.1181447835726963,2.240249302721476,0.598964032646064,0.7729682176382859,4.965491940538088,0.25,0.0,0.2718458247255542,1.4025665459239491,0.0,38.975691012816384,352,relaxed
