evaluation,stage,C_pF,C_th_pJ_per_K,S_e_mW_per_K,T0_K,Tc_K,w_K,beta_per_K,gamma,objective_total,objective_waveform,objective_mean_voltage,objective_amplitude,objective_spectrum,objective_frequency,objective_classification,objective_edge,objective_prior,best_total_so_far,global_evaluations,fit_mode
39,global,0.38831291618247143,0.04835367943403031,0.0034844515513785907,314.31832730993807,333.2936054606561,6.994220189113868,0.3186145537514184,0.9686744304113653,0.9244709583411763,0.5174390664131127,0.7905528958581697,0.8578026654350134,0.7134799100382521,1.8823529411764706,0.47058823529411764,0.8377431103229428,1.1176251868780116,0.8730628482670495,192,constrained
40,global,0.304333695922292,0.056033688162343324,0.003571693010541673,314.25273448243826,333.4110488216206,6.805819503728827,0.31403482953329753,0.5091424044881955,0.9152758138802954,0.4994988382444222,0.8092895601119992,0.8249720304773146,0.6628063261651616,1.8823529411764706,0.47058823529411764,0.9198624646089991,1.0989298555261484,0.8730628482670495,192,constrained
41,global,0.2975854402515576,0.041462845742804025,0.0036897920325958994,314.29748130542157,333.68095980590385,6.922919059170893,0.30621273666802756,1.4809862389214086,1.6827534053718305,0.6932442719856953,1.2390634152298228,5.022895052642155,0.6519003754359259,2.1176470588235294,0.5294117647058824,0.7538912097902664,0.7357951586676762,0.8730628482670495,192,constrained
42,global,0.10081414203387963,0.03069383181883786,0.0036154193363828442,314.37427887319484,333.3272140103064,6.952663025207215,0.29420441909521833,0.4232348435467652,0.8740186922841535,0.4880624099888115,0.7928447640220542,0.84107149319001,0.7136387355536041,1.8823529411764706,0.47058823529411764,0.5685833226747704,0.535795846616347,0.8730628482670495,192,constrained
43,global,0.11602048033948917,0.06429053426300124,0.0036455771012848825,314.4268281487853,333.62322550561555,7.067836522907793,0.29236192751818907,1.9542397280478871,1.0653310888465877,0.5292863593419874,0.9797582728921552,1.5569855805868564,0.609221222267666,1.8823529411764706,0.47058823529411764,0.9866136845393877,1.1969738607745803,0.8730628482670495,192,constrained
44,global,0.0746048046540326,0.06520053427900567,0.004010899183157032,314.36209383886603,333.3473589862552,6.789165111162666,0.30512539424626917,1.005938371532875,0.9286382410409487,0.4333662613868374,1.0134809296521414,0.792454286050838,0.6592234339939584,1.8823529411764706,0.47058823529411764,1.0101962048887865,0.831911397522235,0.8730628482670495,192,constrained
45,global,0.3296925512959174,0.04608354811701157,0.0035800257014657966,314.35903172165314,333.23819181501074,6.9943715628972285,0.29126899369569353,0.6999369141860707,0.8862645045114973,0.49568030930264895,0.7775679053716579,0.8479145276879826,0.7003743496510987,1.8823529411764706,0.47058823529411764,0.7893958892052874,0.6097994161925403,0.8730628482670495,192,constrained
46,global,0.3532845304718678,0.02374145085956883,0.0034636873648727497,314.27137123135617,333.37530517904275,7.082028771920694,0.3079959118570843,0.9195550257062826,0.9198926654540215,0.5160418939941853,0.7877415110733192,0.8563702809208376,0.759437686114226,1.8823529411764706,0.47058823529411764,0.5245932067323353,1.2224672868552386,0.8730628482670495,192,constrained
47,global,0.28257634539407434,0.058744571478919136,0.0037800058643143244,314.4651570494046,333.42228677505517,7.002077499245199,0.2963623222124839,0.5041129171877431,0.8891274704088351,0.4606722410285967,0.8626253950534533,0.8164694398386118,0.6658897406791722,1.8823529411764706,0.47058823529411764,0.9458399110988321,0.5082061170786711,0.8730628482670495,192,constrained
48,global,0.3276258838114135,0.06971319631610581,0.0038010775098702492,314.4715842615178,333.48265766448117,6.858484000104408,0.2903672886990139,1.0414040053039715,0.8852865044363958,0.4546149989232927,0.8601269086093969,0.772047475284855,0.6372893265979245,1.8823529411764706,0.47058823529411764,1.072894364490621,0.5576223943405493,0.8730628482670495,192,constrained
49,global,0.38503765043312865,0.05085870027789954,0.0034897199157964483,314.3344220512598,333.27061256582476,6.9730366226779035,0.3000334043272169,0.3421282061595363,0.9019001029574009,0.5169904868097984,0.7703464673651524,0.8359143946532286,0.6774590467555952,1.8823529411764706,0.47058823529411764,0.859110570367366,0.9011880537367293,0.8730628482670495,192,constrained
50,global,0.3425730374823903,0.026098372863995148,0.0035155456120900463,314.4232408867532,333.4714725030624,6.772578800562578,0.29857786935058306,0.3861848097529348,0.8828629898827571,0.5091334924547666,0.7727256709231459,0.839823251486902,0.721286839601471,1.8823529411764706,0.47058823529411764,0.5399395837487583,0.7183179930119675,0.8730628482670495,192,constrained
51,global,0.07149842790016674,0.0686350638878248,0.003786805344275634,314.5289676482374,333.66486356648295,6.64180729798972,0.30951634448506204,0.8462856588316714,0.9172826086582658,0.46386107830758183,0.880054367185935,0.7727918438361842,0.6401508421962723,1.8823529411764706,0.47058823529411764,1.0320192855447816,1.1109077534314502,0.8730628482670495,192,constrained
52,global,0.21494833407697853,0.04307629150869339,0.003788545273660608,314.36755179309597,333.6409475298917,7.030547866963563,0.299765970985294,1.670281821214465,1.5512000038683194,0.6839215135004592,1.4970448999945563,4.092919012138977,0.6137881507593053,1.9575044042452627,0.4117647058823529,0.7694998502900107,0.7144704599009739,0.8730628482670495,192,constrained
53,global,0.15209651631981216,0.06632339686106674,0.00357965827220692,314.35114022139294,333.22048760813993,6.801963365859275,0.3042766260114385,0.6688715595607715,0.8855364103964154,0.5036107654234735,0.7861075115185986,0.7881218839378887,0.6455396901659703,1.8823529411764706,0.47058823529411764,1.001981312525933,0.660653771204861,0.8730628482670495,192,constrained
54,global,0.10424628053360675,0.044585660939460085,0.003494970153230142,314.4227208769116,333.3744524835096,6.843321860002958,0.3015277065625594,1.8910725474241574,1.4987166823360034,0.7579470387769595,1.40144599069316,3.455682823944816,0.6279520719043421,2.1176470588235294,0.5294117647058824,0.7507026774853429,0.9233894579244188,0.8730628482670495,192,constrained
55,global,0.17395785623002152,0.027442918360596726,0.003587659929340771,314.3715054791394,333.3119920651905,6.776092631051319,0.2950996221404017,0.938051792631484,0.8802137454260485,0.4942756738837926,0.79129991823615,0.8559788051307553,0.7777522836096372,1.8823529411764706,0.47058823529411764,0.5328587459804128,0.43968523372196233,0.8730628482670495,192,constrained
