bootstrap_sample,effective_resistance_ohm,power_uW,inferred_temperature_K,ambient_temperature_K,delta_temperature_K,S_e_uW_per_K
152.0,1678.402353184219,60.511089173674975,330.4900926399836,314.2629105243467,16.22718211563688,3.7289955053480988
153.0,1677.445050579208,60.5809853901692,331.5546561637777,314.28272188849513,17.271934275282547,3.507481236589998
154.0,1683.7734829508802,60.562913812640765,330.4111914271766,314.43001752870504,15.981173898471582,3.789641123824635
155.0,1684.5329099683402,60.450483809574656,331.60839150387267,314.5333229024567,17.07506860141598,3.5402776539686465
156.0,1679.2206323910548,60.594839781121806,330.08333610230187,314.3008724528148,15.782463649487056,3.839377750322979
157.0,1681.2910681331568,60.66175298226572,331.2133242688346,314.3535473338645,16.859776934970057,3.5980163448332987
158.0,1679.5986978137355,60.5716945377753,331.1839878716045,314.4444634219674,16.739524449637088,3.6184835907383555
159.0,1680.6356036448703,60.74514730067133,331.55140920945286,314.3615331097057,17.189876099747153,3.5337745861684735
160.0,1679.7770393150477,60.69977914998898,330.523859091973,314.4456543203732,16.078204771599815,3.7752833735024773
161.0,1680.7953961726853,60.65805682667344,331.9403087996348,314.3318120814939,17.608496718140884,3.444817453620638
162.0,1680.2309217519023,60.600728388109744,330.8500743357797,314.369647729501,16.480426606278684,3.677133476934522
163.0,1681.9220508237809,60.70474608282189,331.03550705003033,314.3153928584227,16.72011419160765,3.6306418357651835
164.0,1679.290506511117,60.621185106371605,331.32466878361055,314.4987830418886,16.825885741721947,3.602852535486651
165.0,1679.0354266421664,60.5716945377753,330.3338815360676,314.2520781859619,16.0818033501057,3.766474021545424
166.0,1680.899477781549,60.55758167770207,328.5245520533259,314.5024688698901,14.022083183435825,4.3187293132905
167.0,1680.724998735395,60.84674084200495,331.07918365905266,314.46979457861363,16.60938908043903,3.6633942734031377
168.0,1675.0232709147515,60.51697313225256,331.18605122892995,314.5479039458147,16.638147283115245,3.6372423024327056
169.0,1679.5986978137355,60.5716945377753,328.9350230228156,314.53107157391423,14.403951448901353,4.2052137396224945
170.0,1681.2026940023338,60.55423348944349,330.06967884081126,314.50881033405716,15.560868506754105,3.891443042729927
171.0,1677.2756985331255,60.514447720935614,331.2940554624968,314.5348410891106,16.759214373386158,3.610816496090253
172.0,1679.5986978137355,60.722868289198225,331.95392430586236,314.36340259721857,17.59052170864379,3.4520220204361345
173.0,1677.8381183599815,60.470482881996666,330.7809459534138,314.4372577138065,16.343688239607275,3.699928804041463
174.0,1680.2513607973563,60.638927232678576,330.60205829200703,314.3371840848829,16.264874207124137,3.728213723664599
175.0,1679.8497904567153,60.745153551211374,329.5727867882712,314.289147239787,15.283639548484189,3.974521471702465
176.0,1679.5986978137355,60.69870378790712,329.77798046700207,314.2925272511559,15.485453215846178,3.91972407535315
177.0,1684.7440231911953,60.63797134395693,330.62524018004996,314.3898863133077,16.23535386674223,3.7349337650208225
178.0,1678.1699514794993,60.67216135963257,331.8991247946116,314.3911114979917,17.508013296619936,3.4653938360525363
179.0,1682.4812586623957,60.68194547900874,331.13891286420176,314.38197430559114,16.756938558610614,3.621302618420541
180.0,1681.5322574156603,60.661746706912616,331.89659197787773,314.4091279304459,17.487464047431843,3.4688704172530507
181.0,1680.8807120679378,60.73936351484701,331.16117187237586,314.3258017696426,16.835370102733236,3.6078424854459197
182.0,1678.2638800688267,60.84100108565631,331.9075233149813,314.34231789132735,17.565205423653936,3.4637227187634045
183.0,1684.7440231911953,60.724374952947855,331.70589682311305,314.5407541266519,17.165142696461146,3.5376562855761815
184.0,1675.3074924063735,60.70221423528794,330.8896086601463,314.3885618569048,16.50104680324148,3.678688689214768
185.0,1682.4887977653902,60.70474608282198,330.5411685577512,314.2798930834095,16.261275474341687,3.7330863854195617
186.0,1682.653043555147,60.66175298226572,331.3123002507321,314.2739130937621,17.038387156970032,3.560299013246117
187.0,1680.6357782114778,60.69870378790712,330.24615049302673,314.51930310187595,15.726847391150784,3.8595595339763515
188.0,1679.8472279105897,60.681958232649976,331.4378527609202,314.50850362201055,16.92934913890963,3.5844235791192576
189.0,1680.0024384674161,60.44173031542861,331.3322013136395,314.37258764058134,16.95961367305813,3.5638624487918453
190.0,1681.4618579262747,60.64111830026401,330.7558958049041,314.4846093978762,16.2712864070279,3.726879165132996
191.0,1679.598872038681,60.638811522242285,331.74473788209247,314.4513549327119,17.293382949380543,3.506474800201796
192.0,1676.9820556461254,60.53751373160345,331.4397893502357,314.4233743556801,17.01641499455559,3.5575950487204535
193.0,1677.5404783420813,60.6388052405981,331.1050957089198,314.41520989344343,16.689885815476373,3.633266632918981
194.0,1680.2309217519023,60.61488206507747,330.5813247863279,314.44162363819817,16.139701148129745,3.7556384414281094
195.0,1682.9865028656789,60.58002236524008,330.35317875109314,314.3305103087038,16.022668442389318,3.780894710706897
196.0,1680.4076050375752,60.66175298226572,330.6646656335518,314.54877325640297,16.11589237714884,3.7640951901788364
197.0,1681.5322574156603,60.661746706912616,331.8665041742841,314.4729885673075,17.39351560697662,3.4876069954817477
198.0,1679.7770393150477,60.70221423528794,329.76142671298305,314.37077777076104,15.390648942222015,3.9440971243753222
199.0,1681.2908937326795,60.66181301743859,330.47924850278696,314.2784413820403,16.200807120746674,3.744369806104004
200.0,1680.1604210476455,60.5716945377753,330.40760068053936,314.53610615467744,15.87149452586192,3.8163825365706
201.0,1678.4723968920753,60.61488206507747,331.1492682116329,314.306959256422,16.84230895521091,3.598965095953995
202.0,1684.1856150040342,60.53667327788379,331.91145362444803,314.3236909598247,17.587762664623313,3.441976926357412
203.0,1683.4618169431615,60.621185106371605,331.6053433146573,314.41791937978064,17.187423934876676,3.5270663792355323
204.0,1680.6357782114778,60.65552902631116,330.85553947946954,314.39240715043195,16.46313232903759,3.684324939752032
205.0,1682.8306929169241,60.554220736510096,330.42195397713573,314.26995052207894,16.152003455056786,3.7490222748529747
206.0,1681.3559161573817,60.600728388109744,330.6789240090824,314.40493257298425,16.27399143609813,3.7237778221812463
207.0,1678.6599698740142,60.511089173674975,330.8916303001224,314.34859012792265,16.543040172199767,3.657797390552348
208.0,1679.1288665122515,60.79674766296982,330.8711644622797,314.3727300933768,16.498434368902906,3.685001031222856
209.0,1679.0354266421664,60.62139285855867,331.3041423059351,314.49249932965597,16.81164297627913,3.605917217257954
210.0,1680.724998735395,60.763169041904774,331.4187417505867,314.3414914814568,17.077250269129934,3.558135419010908
211.0,1680.4114712761734,60.522547013806665,331.0838206209001,314.3745250744822,16.709295546417877,3.6220884863564122
212.0,1677.4425006883273,60.69616134959586,330.8919742712492,314.29016421580593,16.601810055443252,3.6559966140375972
213.0,1681.1319125664158,60.594839781121806,330.6364931363323,314.5367402971522,16.0997528391801,3.763712423811823
214.0,1680.7253524648288,60.511089173674975,330.3742553877503,314.3500077683409,16.02424761940938,3.7762203013126734
