I_target_uA,C_pF,C_th_mW_ns_per_K,S_e_mW_per_K,T_init_K,R_init_ohm,R_fast_ohm,tau_init_ns,tau_fast_ns,recommended_dt_ns,dt_ns,dt_over_tau_fast,dt_over_tau_init,dT_step_over_reversal,estimated_steps,feasible,turn_count,n_cycles,V_pp_mV,V_std_mV,dominant_freq_MHz,spectral_purity,period_cv,amplitude_cv,late_to_early_vpp,unstable,zigzag,oscillatory,trace_score
1050.0,24.482847475069857,29.828206328319126,0.5980060396730094,334.33815568377173,131.57854523097717,18.197838136784316,3.2214174538815943,0.44553489547889985,0.013366046864366996,0.013366046864366996,0.030000000000000002,0.004149119775911625,0.0009729326294656966,22444.93102891778,1.0,0.0,0.0,2828.1745223470803,795.8572977263149,3.571531256590795,0.7406246617639016,inf,inf,0.22039248307863807,1.0,0.0,0.0,0.0
1250.0,24.482847475069857,29.828206328319126,0.5980060396730094,334.33815568377173,131.57854523097717,18.197838136784316,3.2214174538815943,0.44553489547889985,0.013366046864366996,0.013366046864366996,0.030000000000000002,0.004149119775911625,0.0009729326294656966,22444.93102891778,1.0,0.0,0.0,3178.038962887036,895.6094093884503,3.571531256590795,0.7375005646120136,inf,inf,0.17475688860073962,1.0,0.0,0.0,0.0
1450.0,24.482847475069857,29.828206328319126,0.5980060396730094,334.33815568377173,131.57854523097717,18.197838136784316,3.2214174538815943,0.44553489547889985,0.013366046864366996,0.013366046864366996,0.030000000000000002,0.004149119775911625,0.0009729326294656966,22444.93102891778,1.0,1.0,0.0,3450.6001153877364,971.8782075017714,3.571531256590795,0.7332176224783808,inf,inf,0.12613482836922074,1.0,0.0,0.0,0.0
1650.0,24.482847475069857,29.828206328319126,0.5980060396730094,334.33815568377173,131.57854523097717,18.197838136784316,3.2214174538815943,0.44553489547889985,0.013366046864366996,0.013366046864366996,0.030000000000000002,0.004149119775911625,0.0009729326294656966,22444.93102891778,1.0,1.0,0.0,3673.590115739303,1024.2746189286038,3.571531256590795,0.7274249878223117,inf,inf,0.08411357343944992,1.0,0.0,0.0,0.0
1850.0,24.482847475069857,29.828206328319126,0.5980060396730094,334.33815568377173,131.57854523097717,18.197838136784316,3.2214174538815943,0.44553489547889985,0.013366046864366996,0.013366046864366996,0.030000000000000002,0.004149119775911625,0.0009729326294656966,22444.93102891778,1.0,1.0,0.0,3857.266054880919,1054.0561101424507,3.571531256590795,0.7196965126080667,inf,inf,0.05013797926619214,1.0,0.0,0.0,0.0
50.0,200.0,65.30596660095905,0.18742595383073912,301.1153579099965,3629.7134212294072,18.197838136784316,725.9426842458814,3.6395676273568633,0.1091870288207059,0.1091870288207059,0.03,0.00015040723075008432,0.007947871508462441,2747.579114847284,1.0,0.0,0.0,56.92993345326099,16.41444897568429,3.571995729130392,0.7495314707698493,inf,inf,0.834069236301404,0.0,0.0,0.0,0.1370944494935187
250.0,200.0,65.30596660095905,0.18742595383073912,301.1153579099965,3629.7134212294072,18.197838136784316,725.9426842458814,3.6395676273568633,0.1091870288207059,0.1091870288207059,0.03,0.00015040723075008432,0.007947871508462441,2747.579114847284,1.0,0.0,0.0,284.6246642596172,82.06666288463799,3.571995729130392,0.7495283632809383,inf,inf,0.833925696333192,0.0,0.0,0.0,0.21378998450249048
450.0,200.0,65.30596660095905,0.18742595383073912,301.1153579099965,3629.7134212294072,18.197838136784316,725.9426842458814,3.6395676273568633,0.1091870288207059,0.1091870288207059,0.03,0.00015040723075008432,0.007947871508462441,2747.579114847284,1.0,0.0,0.0,512.2192063159893,147.69651932259373,3.571995729130392,0.7495210931586603,inf,inf,0.8335901399549702,0.0,0.0,0.0,0.21376733444696047
650.0,200.0,65.30596660095905,0.18742595383073912,301.1153579099965,3629.7134212294072,18.197838136784316,725.9426842458814,3.6395676273568633,0.1091870288207059,0.1091870288207059,0.03,0.00015040723075008432,0.007947871508462441,2747.579114847284,1.0,0.0,0.0,739.6326990100924,213.28601398264956,3.571995729130392,0.7495096138396208,inf,inf,0.8330610488277449,0.0,0.0,0.0,0.21373162079587277
850.0,200.0,65.30596660095905,0.18742595383073912,301.1153579099965,3629.7134212294072,18.197838136784316,725.9426842458814,3.6395676273568633,0.1091870288207059,0.1091870288207059,0.03,0.00015040723075008432,0.007947871508462441,2747.579114847284,1.0,0.0,0.0,966.783054302087,278.8169383127061,3.571995729130392,0.7494938515553659,inf,inf,0.8323360172700436,0.0,0.0,0.0,0.21368268116572797
