I_uA,C_pF,C_th_pJ_per_K,tau_el_metal_ns,tau_th_ns,tau_el_over_tau_th,T_min_K,T_max_K,outside_resistance_temperature_range,max_temperature_step_K,frequency_MHz,raw_frequency_MHz,oscillatory,cycles,period_cv,persistence_ratio,V_pp_V,V_min_V,V_max_V
400.0,36.3365478515625,140.36851501464844,46.74030185919794,682.768580472537,0.06845701925365322,333.9886779785156,333.9886779785156,0.0,0.09478759765625,0.0,0.0,0.0,0.0,inf,0.0,0.0,4.630752086639404,4.630752086639404
400.0,72.673095703125,140.36851501464844,93.48060371839588,682.768580472537,0.13691403850730643,329.19818115234375,338.9936828613281,0.0,0.11834716796875,0.0,0.23443911107301188,0.0,1.0,0.0,5.3900022047982366e-05,3.6025896072387695,1.580065131187439,6.3926682472229
400.0,145.34619140625,140.36851501464844,186.96120743679177,682.768580472537,0.27382807701461287,327.206298828125,355.9839172363281,0.0,0.127532958984375,0.0,0.16797548033123624,0.0,2.0,4.199386889514131e-05,0.9995639209922045,6.869326293468475,0.5945242047309875,7.47679328918457
400.0,290.6923828125,140.36851501464844,373.92241487358353,682.768580472537,0.5476561540292257,326.18792724609375,376.74517822265625,1.0,0.129852294921875,0.0,0.10108157568805541,0.0,1.0,0.0,0.9060540373376872,7.390751123428345,0.6516249775886536,8.130229949951172
400.0,581.384765625,140.36851501464844,747.8448297471671,682.768580472537,1.0953123080584515,325.6895751953125,393.94964599609375,1.0,0.129364013671875,0.0,0.0,0.0,0.0,inf,0.7963797899406498,6.832887053489685,0.8612141609191895,7.765408992767334
400.0,0.0,198.5110626220703,0.0,965.5805895835787,0.0,336.63482666015625,336.63482666015625,0.0,0.0208740234375,0.0,0.0,0.0,0.0,inf,0.0,0.0,5.995043754577637,5.995043754577637
400.0,18.16827392578125,198.5110626220703,23.37015092959897,965.5805895835787,0.02420321118890522,332.07781982421875,332.07781982421875,0.0,0.028167724609375,0.0,0.0,0.0,0.0,inf,0.0,0.0,3.648658275604248,3.648658275604248
400.0,36.3365478515625,198.5110626220703,46.74030185919794,965.5805895835787,0.04840642237781044,333.2608642578125,333.2608642578125,0.0,0.054046630859375,0.0,0.0,0.0,0.0,inf,0.0,3.24249267578125e-05,4.236876487731934,4.2374138832092285
400.0,72.673095703125,198.5110626220703,93.48060371839588,965.5805895835787,0.09681284475562088,333.9651184082031,336.4736633300781,0.0,0.076873779296875,0.0,0.0,0.0,0.0,inf,0.0,0.4964432716369629,4.460623741149902,5.5215959548950195
400.0,145.34619140625,198.5110626220703,186.96120743679177,965.5805895835787,0.19362568951124176,327.9305419921875,349.656494140625,0.0,0.08782958984375,0.1498314438679384,0.1498314438679384,1.0,3.0,3.531560899920327e-05,0.9992124015278323,6.650608777999878,0.6020240783691406,7.266617298126221
400.0,290.6923828125,198.5110626220703,373.92241487358353,965.5805895835787,0.3872513790224835,326.61993408203125,369.80755615234375,0.0,0.09136962890625,0.0,0.09267411410795906,0.0,1.0,0.0,0.8842937676031134,7.713983774185181,0.5958793759346008,8.38076114654541
400.0,581.384765625,198.5110626220703,747.8448297471671,965.5805895835787,0.774502758044967,325.8867492675781,384.7840881347656,1.0,0.091796875,0.0,0.0,0.0,0.0,inf,0.7575526657211897,7.141199111938477,0.7386462092399597,7.927680492401123
500.0,0.0,24.81388282775879,0.0,120.69757369794733,0.0,337.7707824707031,337.7707824707031,0.0,0.2606201171875,0.0,0.0,0.0,0.0,inf,0.0,0.0,5.252518177032471,5.252518177032471
500.0,18.16827392578125,24.81388282775879,23.37015092959897,120.69757369794733,0.19362568951124176,328.9443054199219,350.3221740722656,0.0,0.93841552734375,1.486988889638561,1.486988889638561,1.0,32.0,0.0,1.0,6.3267412185668945,0.7200593948364258,7.05728816986084
