I_target_uA,time_ns,I_in_uA,V_vo2_mV,T_K,R_ohm,P_uW
0.0,3289.0,0.0,0.0,318.28342,72275.734,0.0
0.0,3301.0,0.0,0.0,320.21503,65584.17,0.0
0.0,3313.0,0.0,0.0,319.96613,66405.83,0.0
0.0,3325.0,0.0,0.0,317.82117,73990.484,0.0
0.0,3337.0,0.0,0.0,316.83908,77826.02,0.0
0.0,3349.0,0.0,0.0,315.02582,85433.945,0.0
0.0,3361.0,0.0,0.0,318.2576,72394.84,0.0
0.0,3373.0,0.0,0.0,319.4881,68038.086,0.0
0.0,3385.0,0.0,0.0,319.74405,67170.3,0.0
0.0,3397.0,0.0,0.0,318.22528,72511.62,0.0
0.0,3409.0,0.0,0.0,317.76352,74231.11,0.0
0.0,3421.0,0.0,0.0,315.69092,82547.81,0.0
0.0,3433.0,0.0,0.0,318.83255,70326.29,0.0
0.0,3445.0,0.0,0.0,319.20566,69015.57,0.0
0.0,3457.0,0.0,0.0,319.30124,68684.54,0.0
0.0,3469.0,0.0,0.0,319.0108,69697.28,0.0
0.0,3481.0,0.0,0.0,312.84482,95782.26,0.0
0.0,3493.0,0.0,0.0,313.3069,93469.69,0.0
0.0,3505.0,0.0,0.0,315.52222,83289.83,0.0
0.0,3517.0,0.0,0.0,315.7514,82306.21,0.0
0.0,3529.0,0.0,0.0,317.31638,75960.45,0.0
0.0,3541.0,0.0,0.0,317.07095,76920.2,0.0
0.0,3553.0,0.0,0.0,323.45096,55922.79,0.0
0.0,3565.0,0.0,0.0,321.82068,60602.145,0.0
0.0,3577.0,0.0,0.0,323.72607,55198.766,0.0
0.0,3589.0,0.0,0.0,324.97867,51948.56,0.0
0.0,3601.0,0.0,0.0,328.19022,44575.887,0.0
0.0,3613.0,0.0,0.0,328.44946,44034.67,0.0
0.0,3625.0,0.0,0.0,327.4541,46151.527,0.0
0.0,3637.0,0.0,0.0,332.75623,36075.312,0.0
0.0,3649.0,0.0,0.0,330.6902,39659.918,0.0
0.0,3661.0,0.0,0.0,328.9344,43035.617,0.0
0.0,3673.0,0.0,0.0,330.68423,39670.83,0.0
0.0,3685.0,0.0,0.0,331.7783,37722.773,0.0
0.0,3697.0,0.0,0.0,327.62552,45769.76,0.0
0.0,3709.0,0.0,0.0,328.07645,44805.613,0.0
0.0,3721.0,0.0,0.0,329.91333,41114.09,0.0
0.0,3733.0,0.0,0.0,331.5382,38140.613,0.0
0.0,3745.0,0.0,0.0,331.316,38532.1,0.0
0.0,3757.0,0.0,0.0,327.94586,45082.89,0.0
0.0,3769.0,0.0,0.0,327.99725,44972.78,0.0
0.0,3781.0,0.0,0.0,328.60205,43710.992,0.0
0.0,3793.0,0.0,0.0,329.30038,42304.87,0.0
0.0,3805.0,0.0,0.0,329.4751,41961.31,0.0
0.0,3817.0,0.0,0.0,329.77417,41380.75,0.0
0.0,3829.0,0.0,0.0,325.94724,49575.06,0.0
0.0,3840.9998,0.0,0.0,323.43625,55977.31,0.0
0.0,3853.0002,0.0,0.0,321.71475,60919.387,0.0
0.0,3865.0,0.0,0.0,323.2355,56533.957,0.0
0.0,3877.0,0.0,0.0,321.24774,62355.25,0.0
0.0,3888.9998,0.0,0.0,318.94135,69987.26,0.0
0.0,3901.0002,0.0,0.0,320.9369,63334.734,0.0
0.0,3913.0,0.0,0.0,320.23,65602.95,0.0
0.0,3924.9998,0.0,0.0,319.86145,66823.72,0.0
0.0,3937.0002,0.0,0.0,319.75186,67207.71,0.0
0.0,3949.0,0.0,0.0,319.32275,68670.95,0.0
0.0,3961.0,0.0,0.0,320.5032,64733.383,0.0
0.0,3972.9998,0.0,0.0,325.10175,51639.28,0.0
0.0,3985.0002,0.0,0.0,320.8172,63696.83,0.0
0.0,3997.0,0.0,0.0,320.56897,64484.973,0.0
0.0,4009.0,0.0,0.0,325.4174,50714.586,0.0
0.0,4021.0002,0.0,0.0,323.15094,56743.43,0.0
0.0,4033.0,0.0,0.0,319.426,68252.484,0.0
0.0,4045.0,0.0,0.0,318.33664,72108.23,0.0
0.0,4056.9998,0.0,0.0,321.22635,62385.71,0.0
0.0,4069.0002,0.0,0.0,324.7016,52596.465,0.0
0.0,4081.0,0.0,0.0,324.58588,52824.457,0.0
0.0,4093.0,0.0,0.0,325.66434,50141.49,0.0
0.0,4105.0,0.0,0.0,323.6749,55267.555,0.0
0.0,4117.0,0.0,0.0,319.42883,68194.414,0.0
0.0,4129.0,0.0,0.0,320.68027,64053.934,0.0
0.0,4141.0,0.0,0.0,323.17487,56628.285,0.0
0.0,4153.0,0.0,0.0,322.9703,57199.05,0.0
0.0,4165.0,0.0,0.0,326.07993,49147.797,0.0
0.0,4177.0,0.0,0.0,322.34958,58916.355,0.0
0.0,4189.0,0.0,0.0,321.94708,60097.844,0.0
0.0,4201.0,0.0,0.0,325.60556,50228.07,0.0
0.0,4213.0,0.0,0.0,321.47147,61474.89,0.0
0.0,4225.0,0.0,0.0,320.81662,63508.73,0.0
0.0,4237.0,0.0,0.0,318.21292,72396.57,0.0
0.0,4249.0,0.0,0.0,320.57236,64293.07,0.0
0.0,4261.0,0.0,0.0,319.75684,66969.71,0.0
0.0,4273.0,0.0,0.0,319.65082,67325.54,0.0
0.0,4285.0,0.0,0.0,321.21167,62262.27,0.0
0.0,4297.0,0.0,0.0,322.32755,58917.035,0.0
0.0,4309.0,0.0,0.0,321.97687,59944.24,0.0
0.0,4321.0,0.0,0.0,321.57312,61151.824,0.0
0.0,4333.0,0.0,0.0,321.83658,60352.566,0.0
0.0,4345.0,0.0,0.0,319.81696,66741.125,0.0
0.0,4357.0,0.0,0.0,319.88556,66527.625,0.0
0.0,4369.0,0.0,0.0,318.19254,72575.836,0.0
0.0,4381.0,0.0,0.0,314.34552,88541.555,0.0
0.0,4393.0,0.0,0.0,315.01373,85523.01,0.0
0.0,4405.0,0.0,0.0,314.07138,89815.98,0.0
0.0,4417.0,0.0,0.0,316.58386,78806.7,0.0
0.0,4429.0,0.0,0.0,315.31796,84161.62,0.0
0.0,4441.0,0.0,0.0,318.69824,70759.164,0.0
0.0,4453.0,0.0,0.0,318.8439,70225.805,0.0
0.0,4465.0,0.0,0.0,322.24814,59257.94,0.0
0.0,4477.0,0.0,0.0,322.54398,58402.777,0.0
0.0,4489.0,0.0,0.0,324.9962,51828.527,0.0
0.0,4501.0,0.0,0.0,323.79446,54934.56,0.0
0.0,4513.0,0.0,0.0,323.1384,56714.855,0.0
0.0,4525.0,0.0,0.0,323.71942,55157.28,0.0
0.0,4537.0,0.0,0.0,322.26166,59239.96,0.0
0.0,4549.0,0.0,0.0,321.5818,61260.78,0.0
0.0,4561.0,0.0,0.0,320.38446,65015.254,0.0
0.0,4573.0,0.0,0.0,322.5254,58477.22,0.0
0.0,4585.0,0.0,0.0,322.0514,59854.992,0.0
0.0,4597.0,0.0,0.0,321.04947,62896.56,0.0
0.0,4609.0,0.0,0.0,320.40414,64947.035,0.0
0.0,4621.0,0.0,0.0,320.7715,63769.125,0.0
0.0,4633.0,0.0,0.0,319.92642,66507.25,0.0
0.0,4645.0,0.0,0.0,322.1785,59466.44,0.0
0.0,4657.0,0.0,0.0,324.08975,54148.58,0.0
0.0,4669.0,0.0,0.0,325.80942,49872.14,0.0
0.0,4681.0,0.0,0.0,325.8715,49721.984,0.0
0.0,4693.0,0.0,0.0,325.98697,49446.99,0.0
0.0,4705.0,0.0,0.0,326.921,47292.742,0.0
0.0,4717.0,0.0,0.0,326.06964,49253.54,0.0
0.0,4729.0,0.0,0.0,321.83084,60530.715,0.0
0.0,4741.0,0.0,0.0,317.70578,74432.734,0.0
0.0,4753.0,0.0,0.0,315.5642,83083.6,0.0
0.0,4765.0,0.0,0.0,313.78442,91155.44,0.0
0.0,4777.0,0.0,0.0,309.66208,113444.41,0.0
0.0,4789.0,0.0,0.0,311.22705,104327.34,0.0
0.0,4801.0,0.0,0.0,311.6847,101819.984,0.0
0.0,4813.0,0.0,0.0,310.8517,106435.81,0.0
0.0,4825.0,0.0,0.0,312.72214,96384.98,0.0
0.0,4837.0,0.0,0.0,314.8231,86354.69,0.0
0.0,4849.0,0.0,0.0,317.15802,76575.81,0.0
0.0,4861.0,0.0,0.0,319.0908,69401.44,0.0
0.0,4873.0,0.0,0.0,318.71576,70725.48,0.0
0.0,4885.0,0.0,0.0,320.4888,64703.43,0.0
0.0,4897.0,0.0,0.0,320.26633,65425.68,0.0
0.0,4909.0,0.0,0.0,320.60178,64340.836,0.0
0.0,4921.0,0.0,0.0,321.25458,62287.4,0.0
0.0,4933.0,0.0,0.0,325.32486,51045.766,0.0
0.0,4945.0,0.0,0.0,322.8833,57473.49,0.0
