I_target_uA,I_avg_uA,V_avg_mV,V_std_mV,V_pp_mV,V_pp_active_mV,turn_count,input_power_dBm,dominant_freq_MHz,oscillatory,n_cycles,period_cv,spectral_purity,R_plateau_ohm,R_min_ohm,R_max_ohm,T_avg_K,T_max_K,P_avg_uW,P_peak_uW,cycle_energy_pJ,cycle_period_ns,cycle_frequency_MHz,regime
2000.0,2000.0001220703125,1079.0966796875,764.3102416992188,2006.3271484375,2006.3271484375,11.0,-6.989698619632047,60.6794984913347,1.0,17.0,7.846345879875882e-05,0.17941913942671447,717.9777221679688,33.854270935058594,1313.646484375,333.4501647949219,344.45977783203125,2167.77685546875,19168.224609375,37.565594809395925,16.940440586635045,59.03034191383062,oscillatory
2100.0,2100.0,1060.164306640625,718.670654296875,1888.291259765625,1888.291259765625,18.0,-6.565914371668553,60.6794984913347,1.0,18.0,0.0002039312890622061,0.20740613730507404,648.4456176757812,42.51995849609375,1184.017333984375,333.66741943359375,343.7161865234375,2222.70751953125,14472.6474609375,36.2581418355306,16.143038940429687,61.946205029310455,oscillatory
2200.0,2200.0,1073.1290283203125,7.326632022857666,47.45947265625,47.45947265625,0.0,-6.161846387261084,60.6794984913347,0.0,6.0,0.14658001840425472,0.06983784276527724,488.03326416015625,463.7951354980469,488.5621337890625,334.8088684082031,335.9213562011719,2359.695556640625,2364.36083984375,38.89920997619629,16.381702423095703,61.043716591393604,metallic lock
2300.0,2300.0,1036.0675048828125,0.0001220703125,0.0,0.0,0.0,-5.775743043550041,57.11011622713854,0.0,4.0,0.18250881536231953,0.05302915651708001,450.48968505859375,450.4896545410156,450.4896545410156,335.05419921875,335.05426025390625,2382.82080078125,2382.821044921875,48.51055145263672,19.79969024658203,50.50584062407882,metallic lock
2400.0,2400.0,996.0565795898438,6.103515625e-05,0.0,0.0,0.0,-5.406074709850081,3.569382264196159,0.0,1.0,0.0,0.05338257784109289,415.01226806640625,415.01226806640625,415.01226806640625,335.0754699707031,335.0754699707031,2390.6005859375,2390.6005859375,,,0.0,metallic lock
2500.0,2500.0,956.4942016601562,0.0,0.0,0.0,0.0,-5.051499977343824,3.569382264196159,0.0,1.0,inf,0.08473996961626716,382.60760498046875,382.6076354980469,382.6076354980469,335.1669921875,335.1669921875,2391.173095703125,2391.17333984375,,,0.0,metallic lock
2600.0,2600.0,908.7359619140625,6.103515625e-05,0.0,0.0,0.0,-4.710832973577617,3.569382264196159,0.0,1.0,inf,0.19207851728923972,349.505126953125,349.50506591796875,349.50506591796875,334.83782958984375,334.8377685546875,2362.772705078125,2362.7724609375,,,0.0,metallic lock
2700.0,2700.0,880.85009765625,0.0,0.0,0.0,0.0,-4.38302444815627,3.569382264196159,0.0,0.0,inf,0.3177697392969153,326.23291015625,326.23291015625,326.23291015625,334.9663391113281,334.96630859375,2378.35205078125,2378.3525390625,,,0.0,metallic lock
2800.0,2800.0,864.8087158203125,0.0001220703125,0.0,0.0,0.0,-4.067139639502554,3.569382264196159,0.0,0.0,inf,0.4335490941897716,308.8531188964844,308.8531494140625,308.8531494140625,335.3901062011719,335.3901062011719,2421.52099609375,2421.52099609375,,,0.0,metallic lock
2900.0,2900.0,850.8397827148438,6.103515625e-05,0.0,0.0,0.0,-3.7623401091223663,3.569382264196159,0.0,0.0,inf,0.530186307498504,293.3996276855469,293.39959716796875,293.39959716796875,335.859619140625,335.8596496582031,2467.379638671875,2467.3798828125,,,0.0,metallic lock
3000.0,3000.0,834.3106689453125,6.103515625e-05,0.0,0.0,0.0,-3.4678747867458224,3.569382264196159,0.0,1.0,inf,0.6189830801415908,278.1095886230469,278.1095886230469,278.1095886230469,336.2705078125,336.27044677734375,2502.877685546875,2502.8779296875,,,0.0,metallic lock
