I_target_uA,C_pF,C_th_mW_ns_per_K,S_e_mW_per_K,T0_K,T_init_K,sigma_W_sqrt_s,Rm_factor_scale,Tc_shift_K,w_scale,beta_scale,R_init_ohm,R_fast_ohm,tau_init_ns,tau_fast_ns,Rm_eff_ohm,Tc_eff_K,w_eff_K,beta_eff_per_K,reversal_threshold_K,recommended_dt_ns,dt_ns,dt_over_tau_fast,dt_over_tau_init,dT_step_over_reversal,estimated_steps,feasible,turn_count,pulse_turn_count,n_cycles,V_pp_mV,V_std_mV,baseline_mean_mV,plateau_mean_mV,plateau_std_mV,plateau_vpp_mV,plateau_turn_count,plateau_res_ohm,onset_overshoot_mV,onset_undershoot_mV,turnoff_undershoot_mV,dominant_freq_MHz,spectral_purity,period_cv,amplitude_cv,late_to_early_vpp,unstable,zigzag,oscillatory,trace_score
1250.0,20.0,5.0,0.2,328.39493232792864,331.84509749589733,0.0,4.0,0.0,1.0,1.0,493.98759373010444,72.79135254713727,9.879751874602087,1.4558270509427451,72.79135254713727,333.5701800798817,6.900330335937457,0.29699146992797587,0.01,0.03434473893559105,0.03434473893559105,0.02359122185107808,0.0034762754542329334,0.01,23293.232815083928,1.0,9.0,9.0,4.0,554.8257398974679,103.9629858207312,0.0,578.9509789801342,4.282479590124312,26.11430359094959,4.0,463.1607831841074,422.6916767505377,578.9509789801342,569.2520274194976,3.571705228026265,0.26155260263007196,0.028395669350260812,1.9405132261323574,0.0024700569087113557,0.0,0.0,1.0,0.7448481847466313
1300.0,20.0,5.0,0.2,328.39493232792864,331.84509749589733,0.0,4.0,0.0,1.0,1.0,493.98759373010444,72.79135254713727,9.879751874602087,1.4558270509427451,72.79135254713727,333.5701800798817,6.900330335937457,0.29699146992797587,0.01,0.03434473893559105,0.03434473893559105,0.02359122185107808,0.0034762754542329334,0.01,23293.232815083928,1.0,9.0,9.0,4.0,593.2374527571067,108.0143561061812,0.0,574.2169930785317,3.3503376087964,23.320443790849936,4.0,441.70537929117825,450.2893814156855,574.2169930785317,565.1977042787089,3.571705228026265,0.2584102416631614,0.02992446717508542,1.9356161811058146,0.0023249484389465665,0.0,0.0,1.0,0.7445377399780406
1350.0,20.0,5.0,0.2,328.39493232792864,331.84509749589733,0.0,4.0,0.0,1.0,1.0,493.98759373010444,72.79135254713727,9.879751874602087,1.4558270509427451,72.79135254713727,333.5701800798817,6.900330335937457,0.29699146992797587,0.01,0.03434473893559105,0.03434473893559105,0.02359122185107808,0.0034762754542329334,0.01,23293.232815083928,1.0,9.0,9.0,4.0,630.5779481963691,111.5824200595675,0.0,569.4026059831855,2.543326679325194,18.913663334185003,5.0,421.779708135693,477.3959838340621,569.4026059831855,561.0194409193057,3.571705228026265,0.25610525801740774,0.031798295659808136,1.93424455550576,0.0017260444836438567,0.0,0.0,1.0,0.7440952415853749
1400.0,20.0,5.0,0.2,328.39493232792864,331.84509749589733,0.0,4.0,0.0,1.0,1.0,493.98759373010444,72.79135254713727,9.879751874602087,1.4558270509427451,72.79135254713727,333.5701800798817,6.900330335937457,0.29699146992797587,0.01,0.03434473893559105,0.03434473893559105,0.02359122185107808,0.0034762754542329334,0.01,23293.232815083928,1.0,10.0,10.0,5.0,666.7471831452119,114.67013231462947,0.0,564.5833500931479,2.0506323245405533,13.939480450152587,5.0,403.27382149510566,503.9693690607984,564.5833500931479,556.7948242182357,3.571705228026265,0.2543487409720157,0.1675884843322649,2.221434844423897,0.0010335058669362258,0.0,0.0,1.0,0.7714482534887203
1450.0,20.0,5.0,0.2,328.39493232792864,331.84509749589733,0.0,4.0,0.0,1.0,1.0,493.98759373010444,72.79135254713727,9.879751874602087,1.4558270509427451,72.79135254713727,333.5701800798817,6.900330335937457,0.29699146992797587,0.01,0.03434473893559105,0.03434473893559105,0.02359122185107808,0.0034762754542329334,0.01,23293.232815083928,1.0,3.0,3.0,1.0,439.41881712899567,90.06441880851087,0.0,658.3110890433446,0.8055417875572081,3.675802921306854,0.0,454.00764761609975,431.48867702694554,658.3110890433446,657.8594078276076,3.571705228026265,0.6547368152829927,0.0,0.9626589278265842,0.00018884472504241136,0.0,0.0,0.0,0.2700127470189404
1500.0,20.0,5.0,0.2,328.39493232792864,331.84509749589733,0.0,4.0,0.0,1.0,1.0,493.98759373010444,72.79135254713727,9.879751874602087,1.4558270509427451,72.79135254713727,333.5701800798817,6.900330335937457,0.29699146992797587,0.01,0.03434473893559105,0.03434473893559105,0.02359122185107808,0.0034762754542329334,0.01,23293.232815083928,1.0,4.0,4.0,2.0,362.18127409890417,74.40614825960937,0.0,754.4010640751783,0.8256688487933395,3.8240692096509292,1.0,502.9340427167855,356.1649519864336,754.4010640751783,753.1691120609396,3.571705228026265,0.6568174276662998,0.12188708674532282,1.6919232905688644,7.13010927261967e-05,0.0,0.0,0.0,0.2827267897618274
1550.0,20.0,5.0,0.2,328.39493232792864,331.84509749589733,0.0,4.0,0.0,1.0,1.0,493.98759373010444,72.79135254713727,9.879751874602087,1.4558270509427451,72.79135254713727,333.5701800798817,6.900330335937457,0.29699146992797587,0.01,0.03434473893559105,0.03434473893559105,0.02359122185107808,0.0034762754542329334,0.01,23293.232815083928,1.0,5.0,5.0,2.0,329.4336533488964,69.69373359346707,0.0,808.9763089096396,1.058350486068049,5.160898576195336,2.0,521.9201992965417,321.90149975668965,808.9763089096396,806.9722048530199,3.571705228026265,0.6308491088197165,0.035049323625344284,1.6761771388470807,0.0003897598398136025,0.0,0.0,0.0,0.28947868675390864
1600.0,20.0,5.0,0.2,328.39493232792864,331.84509749589733,0.0,4.0,0.0,1.0,1.0,493.98759373010444,72.79135254713727,9.879751874602087,1.4558270509427451,72.79135254713727,333.5701800798817,6.900330335937457,0.29699146992797587,0.01,0.03434473893559105,0.03434473893559105,0.02359122185107808,0.0034762754542329334,0.01,23293.232815083928,1.0,5.0,5.0,2.0,316.1777137872291,70.16036048331105,0.0,846.9987160580525,1.3663473994141784,7.512586302968657,2.0,529.3741975362828,303.7597626616813,846.9987160580525,844.221438645056,3.571705228026265,0.5850154612474969,0.0007498311396343738,1.6359812112816088,0.0007942002568340458,0.0,0.0,0.0,0.292486174279061
1700.0,20.0,5.0,0.2,328.39493232792864,331.84509749589733,0.0,4.0,0.0,1.0,1.0,493.98759373010444,72.79135254713727,9.879751874602087,1.4558270509427451,72.79135254713727,333.5701800798817,6.900330335937457,0.29699146992797587,0.01,0.03434473893559105,0.03434473893559105,0.02359122185107808,0.0034762754542329334,0.01,23293.232815083928,1.0,6.0,6.0,3.0,335.76368424746136,80.20224853194772,0.0,892.7743601214479,1.5033409843067738,10.457961707723484,3.0,525.1613883067341,301.020181071724,892.7743601214479,888.621231901617,3.571705228026265,0.4759481635709106,0.02182613437969818,1.9477479363284722,0.0012278473162754134,0.0,0.0,1.0,0.6959121911606269
1850.0,20.0,5.0,0.2,328.39493232792864,331.84509749589733,0.0,4.0,0.0,1.0,1.0,493.98759373010444,72.79135254713727,9.879751874602087,1.4558270509427451,72.79135254713727,333.5701800798817,6.900330335937457,0.29699146992797587,0.01,0.03434473893559105,0.03434473893559105,0.02359122185107808,0.0034762754542329334,0.01,23293.232815083928,1.0,8.0,8.0,4.0,495.3640977381838,105.75050070287755,0.0,919.896416886209,5.98194032518779,25.208813474905583,5.0,497.24130642497795,388.0693312992678,919.896416886209,914.1629491294784,3.571705228026265,0.32228856899526487,0.08957567838998791,1.9758617213349265,0.0023089642646621144,0.0,0.0,1.0,0.733904039590756
