mode,evaluation,elapsed_s,loss,mean,amplitude,robust,frequency,persistence,waveform,static_rmse_log10,screened,outside_domain,C_pF,S_e_mW_per_K,tau_th_ns,T0_K,Tc_K,w_K,beta_per_K,gamma,Rs_315K_ohm,Ea_over_k_K,Rm_ohm
dynamic_diagnostic,268,386.21580670899857,34.69012886562065,11.147941896480146,2.7587759602044177,1.8837741776621364,1.39998878638304,0.8856260650817113,32.63555112892759,0.18504854032987575,False,False,0.16498520138587083,0.004912543977843621,73.39024766682493,317.5466308287889,337.49734821376376,7.68309015719347,0.4067090600019814,0.4106112197012525,1537.3859492937768,3154.7597336527015,18.51912868177391
dynamic_diagnostic,269,386.215828417,98.24043891624018,73.26618847033264,2.7154808005654747,2.962117662243366,0.988363136787375,0.5764643938543806,91.78650282891869,0.32797195223884335,False,False,4.555004848700837,0.014463631199567156,10.170634249174412,321.09631257689074,332.22546565192386,7.886362313265293,0.4106974812845992,0.09911635176984722,3388.483543045029,2942.0541165191516,7.1776555868783385
dynamic_diagnostic,270,386.21585241700086,35.942130676354715,7.574295367133889,3.393626098057688,2.8820493388479083,0.5849364414776149,1.0808417664440062,33.89979241822174,0.18449653375845007,False,False,1.07246588229475,0.005151091052431714,29.570824140342786,315.0037570775747,332.90211438452616,3.984840369927647,0.2364929852268341,0.2902008773038038,2054.4937134330125,3221.646107765251,10.207426987356921
dynamic_diagnostic,271,388.0544618339991,49.633971616723386,16.596276764764788,3.8417282288667645,3.2672355645391633,0.5618894909721894,0.9928874204511592,43.58429080680425,0.3175342713765749,False,False,0.4704686591675453,0.010748625211146353,11.413948498985041,321.5909738858488,332.42678668423525,8.722337713601652,0.2790366447208923,0.1298211592478801,1227.477334831073,2860.070801817161,10.393590403455912
dynamic_diagnostic,272,388.05452287499793,73.4626795637564,41.236750185191646,4.170715790881983,3.923937051609412,0.5620713761647563,1.0682214793260443,70.77252804944192,0.21174479585554848,False,False,5.096886585978098,0.001444375338463097,17.00438752950599,316.9042143722527,333.28195836159745,5.938369791896952,0.25815083054508786,0.2611564841455951,1886.2003070304,2267.750267339406,36.63345755106504
dynamic_diagnostic,273,388.0545515420017,41.31485323115713,6.243710917301239,4.344332574114578,3.904366375656574,0.5660919382369729,0.9068410305041239,34.34621335046952,0.3407990581141037,False,False,2.435780708677769,0.0036046883211318034,6.333349982893895,311.0031057689158,336.2636284440942,10.089787345126723,0.1447513422420001,0.15645248941841614,1373.0620749958823,2774.0363111475353,34.2225891344971
dynamic_diagnostic,274,389.6836929169949,36.763355773674455,6.72624474610271,4.33651788837805,3.5550367778169782,0.5584446855058247,1.0239228043660427,35.85713118419926,0.12289728702424597,False,False,0.8820926469687572,0.0037166775088538586,15.190584920431458,320.26626872781554,334.29343461562723,6.108297500097698,0.3086030136529106,0.189281082968125,2087.7396358337824,2333.3414564904606,26.22387480133887
dynamic_diagnostic,275,389.6837590419964,135.73354556716657,113.37640934656855,2.618547519968128,1.798428456677038,2.2820747382926125,0.8123889492722084,133.9201851235628,0.17384669700648003,False,False,1.112745379633158,0.011387170137195259,82.42122492378331,318.9327450224567,334.1415529663581,4.7523958360628775,0.561096707612385,1.670763867594108,2641.083803774599,2831.234349396654,13.274342663671034
dynamic_diagnostic,276,389.6837846249982,63.33606080506059,34.77781077591724,3.5255695969407252,3.430594986924765,0.5822777171395317,1.0522072038340307,61.70273985824231,0.1649909566621901,False,False,3.711154268289243,0.00917855796725235,8.709942885678037,317.79269030894795,333.5472026157649,5.216013181575443,0.16899357861124747,0.5147485360838722,2580.0327411112216,2994.5180576715143,19.056010660512023
dynamic_diagnostic,277,389.68386133400054,10069.878732289022,41.22371908043897,5.715242282489915,6.398886111463984,2.2235386061130304,0.3142302686836256,69.65086456663272,0.061626255550432565,False,True,11.223809983940754,0.007975914444533095,15.242444185772014,314.5309907109604,332.9604347029261,6.371353450883506,0.31278621257157035,0.2892819448131856,2447.6992863634123,2575.126066603246,17.914218692531623
