Temperature,Resistance,frozen,prior_anchored,prior_amplitude,prior_joint_static,prior_joint_diagnostic,static_preserving,dynamic_diagnostic
312.684,2960.845,2686.045077616819,2686.0457443354526,2686.040265770674,2620.548495485812,2456.2041803987336,2967.5718785879185,2601.1266375977107
313.299,2920.112,2643.891417528538,2643.8923476046148,2643.885506947018,2578.8447379713293,2418.4537193003735,2921.9227776193256,2549.3035355565953
313.914,2880.922,2602.5648319798797,2602.566128552517,2602.557610455594,2537.9685818938337,2381.4321013269805,2877.1540825367647,2498.7088412080902
314.5165,2836.156,2562.8617814167014,2562.8635754694847,2562.85304901937,2498.7069658761807,2345.853752865045,2834.1294671693004,2450.2994024994596
315.1345,2791.071,2522.9244609541965,2522.92696224613,2522.913933600557,2459.2221971187523,2310.0543866652,2790.8359122434026,2401.7992222555704
315.758,2747.021,2483.420810650024,2483.4243053310256,2483.4082267229323,2420.17439969166,2274.6327980179303,2747.996905733941,2354.016477179116
316.38,2701.95,2444.7834153295044,2444.788289534712,2444.7685735459654,2381.9904539878676,2239.977453465221,2706.0814400157337,2307.4621871585173
316.9985,2645.195,2407.109234094489,2407.1160130734015,2407.0920382082822,2344.7651719030514,2206.1761929665777,2665.1947042874285,2262.2358627021317
317.5995,2600.289,2371.196723231477,2371.206054425732,2371.177310533578,2309.2861139815227,2173.9466839809925,2626.2036082947416,2219.271656805395
318.211,2572.319,2335.3439445737195,2335.3568467159494,2335.322657168357,2273.8705089339483,2141.762595229714,2587.259751702779,2176.512870682488
318.8225,2532.946,2300.167613905542,2300.1854324345045,2300.1453527587346,2239.126064173802,2110.178394173425,2549.0311774487727,2134.6776400635804
319.4345,2489.118,2265.6229291983677,2265.6475124320455,2265.6014305704307,2205.006471628117,2079.1551459122347,2511.4670722080673,2093.687884681049
320.0415,2449.457,2231.9961444615465,2232.0299250026737,2231.9784080048994,2171.791827364433,2048.9515654992815,2474.8759377395163,2053.852470557427
320.6505,2408.376,2198.8772389458472,2198.923636822884,2198.8682674081183,2139.073721813361,2019.201356763394,2438.807495397897,2014.6486123976586
321.2665,2339.71,2165.9891422488395,2166.052996468864,2165.997195333763,2106.57371177228,1989.6580551016314,2402.9531423491285,1975.7023877614913
321.8825,2276.551,2133.695227513825,2133.782944191801,2133.7331823356485,2074.6445363312746,1960.6512126394389,2367.699686354103,1937.3843286559056
322.499,2240.716,2101.9465461151826,2102.066829362359,2102.0343315166333,2043.2295195600939,1932.1407906258532,2332.981553237011,1899.560052428137
