evaluation,stage,C_pF,C_th_pJ_per_K,S_e_mW_per_K,T0_K,Tc_K,w_K,beta_per_K,gamma,objective_total,objective_waveform,objective_mean_voltage,objective_amplitude,objective_relative_amplitude,objective_spectrum,objective_frequency,objective_classification,objective_false_positive,objective_sustain,objective_edge,objective_prior,best_total_so_far,global_evaluations,fit_mode
73,global,27.872932699970576,0.0865690699937,0.00546280626602859,316.9219797039606,328.2196568749245,13.672483208523948,0.19099353706420125,2.626088540377534,1545.5309170785147,2.184531256311449,0.34402964560405913,48.89531571212815,2.3733166523471425,0.6337810725893843,2.1176470588235294,0.5294117647058824,0.058823529411764705,0.9062131650135483,1.6464328460891484,0.0,65.16371939470066,352,relaxed
74,global,9.820356667844287,0.05696532746649432,0.01939992866396952,316.0709961174417,341.16845009400237,15.948409856026174,0.7445363535513998,1.3509995014308136,2442.9901790528893,3.3211945429689074,67.1161395640321,79.0409840877894,0.1893382430080609,0.5083808687788943,2.823529411764706,0.7058823529411765,0.23529411764705882,0.5518957501497229,2.8202055410421925,0.0,65.16371939470066,352,relaxed
75,global,15.452150967000835,0.056735550794469056,0.00250183317763038,315.29760149366894,334.23904430670933,5.356857726675529,0.40604404374593944,0.6280200457672664,912.1129358663388,1.7162051693505054,2.70279390179208,13.957606258272646,1.40151836817639,0.5398183743699219,1.8865741162970926,0.35294117647058826,0.0,0.3172468433309187,1.5394551900494766,0.0,65.16371939470066,352,relaxed
76,global,6.954844462492986,0.060586641322367886,0.00973588518027194,314.2172505134034,329.0445418988269,8.760156242442589,0.35937099364657016,1.7142640560722158,1902.7398954724952,3.3165398230349434,5.607075780312904,100.3899302524426,3.391405392605133,0.6375355862617985,3.062710091617541,0.4117647058823529,0.29411764705882354,1.206445568260601,1.8056604014875832,0.0,65.16371939470066,352,relaxed
77,global,24.325345657540073,0.1461449004039569,0.01737748667093436,315.93087522764677,333.2560011612465,19.16437444693233,0.4957732611669772,0.21642983441607644,1326.562354540774,3.6886238246373826,42.782648807201724,121.37392058086792,2.1984179091614755,0.5921156523818578,1.8823529411764706,0.47058823529411764,0.0,1.0392144401997219,2.3468446893629955,0.0,65.16371939470066,352,relaxed
78,global,7.40746493240807,0.02417084977966938,0.007945359066943007,311.4592420171606,330.7605760783844,6.735686069706524,0.06380759855254503,0.2243244368613404,2120.7161275936855,1.840704780343186,5.815023885338012,34.58440576285994,2.202711225911589,0.31041514441066176,2.1432827268536925,0.5294117647058824,0.29411764705882354,3.383598999413661,1.4612708047709237,0.0,65.16371939470066,352,relaxed
79,global,25.476367745920562,0.019259905046596124,0.013576658645912103,319.3873387263402,331.95775864280284,14.778314168337705,0.546389223650819,2.0139687264242614,2751.2768739655776,2.7771358876580874,13.869806803574464,75.81529822129814,2.351836140433149,0.6078306970716227,3.0588235294117645,0.7647058823529411,0.29411764705882354,1.5955545220071337,1.6973592496382413,0.0,65.16371939470066,352,relaxed
80,global,11.468034896657443,0.006162034748560835,0.007815604931828028,319.62046728517026,334.80446424114825,5.566647199849875,0.1595981024944293,2.1728737335686024,1832.9218260854855,1.9306769384435298,1.3236020239816368,39.80245337441027,2.216696074132013,0.5607748500990835,1.9444436108694196,0.4117647058823529,0.29411764705882354,4.867655043051783,1.2573693537518382,0.0,65.16371939470066,352,relaxed
81,global,4.14170120864215,0.11205131072497301,0.004061547410585423,317.4334449264741,335.87891018887103,16.903765279494934,0.28741829164194743,2.721929051971543,1572.2966028411895,2.0325294100824935,1.8979534016962816,72.19528293042876,2.6163658790676987,0.5706132123558492,2.1176470588235294,0.5294117647058824,0.058823529411764705,1.801952349363556,1.9270172388712112,0.0,65.16371939470066,352,relaxed
82,global,24.717509706406446,0.17210911076510518,0.0010690557951476849,313.50820635880893,332.7292141453778,14.183942011319829,0.12754185624582182,1.7618970320834475,1236.9143842973608,2.573285924878314,5.448610484933667,36.373506423941194,2.161545179424035,0.6749856464598318,1.8823529411764706,0.47058823529411764,0.0,0.6043944926387995,1.9789337515423657,0.0,65.16371939470066,352,relaxed
83,global,6.992903381605343,0.13965004096447747,0.00852822511683988,312.21031694318094,332.4537828860851,6.418060325505089,0.8179233779623213,0.31488769717613807,2222.756252437842,4.124632593845107,16.802455500214514,125.29717785409377,3.130407555838793,0.6208261277631969,3.6427255924550184,0.5294117647058824,0.29411764705882354,3.3026068773252555,2.6354258930055834,0.0,65.16371939470066,352,relaxed
84,global,14.897891324752083,0.005628487560170287,0.014339130767215252,317.1003225112597,336.9301217765264,14.0158488295505,0.1987902098190632,1.6811589990207059,2303.4842856027512,2.555360155274884,21.97721953789057,72.22109438624918,1.859939556801724,0.5631197736623117,3.625390871814287,0.5882352941176471,0.29411764705882354,2.4216351249695993,1.8771099874300843,0.0,65.16371939470066,352,relaxed
