Temperature,Resistance,frozen,prior_anchored,prior_amplitude,static_preserving,dynamic_diagnostic
356.39,17.69788,18.215411284422213,18.215324444831637,18.25242971290823,20.06421933779831,17.56579330324678
355.7805,17.67017,18.215475993262206,18.21535090111048,18.26371050014453,20.064383635956638,17.565794152206085
355.1585,17.81459,18.215572663891823,18.215391176633943,18.278762650131277,20.064623416703572,17.56579552551176
354.5435,17.80634,18.215712779022333,18.215450665118986,18.29824220784663,20.064962909185006,17.565797681192837
353.932,17.76155,18.215916366315017,18.21553873616563,18.32353715108463,20.065444861697614,17.56580107116601
353.3345,17.84761,18.2162054452386,18.21566611833259,18.35569036007233,20.066113718383736,17.565806274449088
352.723,17.99791,18.21663562674924,18.21585921612631,18.39851170037077,20.067086474346056,17.565814646565116
352.11,17.97434,18.217265553107797,18.216147314686232,18.45455532051352,20.06847822809582,17.565827913842252
351.496,18.0492,18.21818795986222,18.21657716352734,18.527884816864084,20.070469339554183,17.565848941498096
350.8945,18.21366,18.219504014734778,18.217201935614977,18.62147967180658,20.073245571186042,17.565881386239244
350.278,18.23134,18.22147118565979,18.21815338168314,18.74656547153609,20.077300510092527,17.565933853753375
349.6615,18.30502,18.224352707343535,18.219573568446627,18.91017888011525,20.083103020298548,17.566017070488734
349.0455,18.47655,18.22856964152007,18.22169143456537,19.123983726831536,20.09139860164587,17.56614892966275
348.436,18.70701,18.234667025119084,18.224811561419575,19.400203933901278,20.103118192088612,17.56635525996651
347.828,18.87737,18.243534739362836,18.22943451367877,19.759345053504195,20.119773752713744,17.566679848848846
347.2145,19.08189,18.256598720562092,18.236373496499763,20.23208176912234,20.143748841518892,17.56719726612733
346.603,19.23928,18.275628515665943,18.246672263462603,20.847090603344917,20.177870670235716,17.568012936410913
345.992,19.42435,18.30339667383625,18.26198369584331,21.648566468739514,20.226519745466696,17.569300838079943
345.3815,19.82222,18.343904434984857,18.28474100468273,22.692538421366965,20.295862130651813,17.571333696380854
344.784,20.02086,18.401531435786417,18.317719161600234,24.019991715546713,20.39227546158119,17.57445985199289
344.174,20.42697,18.48707854023484,18.367590067019233,25.780128632441624,20.532149550198096,17.579477524192953
343.563,20.75882,18.612168924160766,18.441891208082396,28.074951280577665,20.73198157562037,17.587416902210318
342.953,21.21917,18.794471692734426,18.5522238253202,31.054648745970464,21.016512669532982,17.59993795024339
342.356,21.71841,19.053717816075984,18.712059527268533,34.83168041226941,21.411925546423145,17.619188506516338
341.7455,22.35324,19.439148590217933,18.95416571743547,39.82943131648494,21.986343563791035,17.650143560088257
341.1345,23.23795,20.00217786297476,19.314579181675573,46.308911099582225,22.805966277244718,17.699098122429945
340.5235,24.08555,20.823881929793064,19.850672666988896,54.68472788262214,23.97424041592069,17.776469422597412
339.9245,25.232,21.994491873237756,20.628991175276557,65.2418134129822,25.599916385865264,17.895772194734956
339.3125,26.56409,23.732893558029826,21.80719829376611,79.06577737068082,27.9573674961241,18.08768933028807
338.699,28.42491,26.274538127991693,23.563949680122505,96.79599974835509,31.321325813105467,18.392126524479018
338.085,30.92703,29.98219027593646,26.178399240748,119.37583045330439,36.10885358768737,18.874537887618697
337.484,34.21897,35.24117787834326,29.96253506221379,147.22718510209546,42.73294751516822,19.618201888905787
336.869,39.02398,43.026162197681444,35.68265504006025,182.83472868584806,52.292141223452205,20.81751570764842
336.254,46.2132,54.291705028479186,44.1438910186328,226.93728760426256,65.76478166448457,22.71542601894197
335.639,57.47183,70.50816811161883,56.607618898895495,280.82079804754596,84.63818072726377,25.7153827147515
335.025,76.97595,93.63244240757422,74.82024319245451,345.4716251736676,110.80689801156761,30.43903854589591
334.4235,110.6953,125.52543840829358,100.59729206575867,420.01103174751853,145.88120015533605,37.67812593906678
333.81,174.3309,170.68242758927755,138.13067688099346,507.5702803280882,194.10209525935548,49.18378911101498
333.196,272.4042,232.3907948813607,191.01511175579074,606.1820754590129,258.0390382980099,67.08148207719483
332.5835,390.8629,314.2210568299637,263.4966941080867,713.922025917963,340.32364138822925,94.53098304663023
331.9855,526.3125,416.51933384896637,357.2944222733036,825.8218710975553,440.32182257785047,134.86263997094537
331.374,645.7925,544.9509957893715,479.33288744764667,944.1228300198349,562.6956623776875,195.54125824552975
330.763,774.3662,695.0313645159083,627.0944010915025,1062.9601516240255,702.6831611106567,282.1470487478643
330.152,883.7883,860.7047690141501,795.6203421674487,1179.2621116809248,854.9170621596568,400.19088978386253
329.541,971.1823,1032.7431623394118,975.4660053035765,1290.3589123664515,1011.8359661444962,551.4163140531874
328.944,1039.606,1197.1990167847139,1150.8094957364822,1392.021721900091,1161.9208454685,726.4678170516486
328.333,1112.684,1353.2384728542534,1319.0763613516347,1487.9037821038864,1305.437300570852,921.2089054611573
327.7225,1198.793,1491.2873257396393,1468.4005684521667,1575.0688564133202,1434.1545572611437,1114.5927178323382
327.1115,1322.061,1609.5968843832945,1595.8293860857711,1653.8622249358657,1546.405196297845,1291.2583682231382
326.5135,1404.724,1706.9494019606514,1699.6806624704666,1723.394652937923,1640.5143807777592,1438.6982745531586
325.9005,1573.22,1790.25402165512,1787.4028878222853,1787.7361628159458,1722.5052487267508,1561.4345064438237
