mode,evaluation,elapsed_s,loss,mean,amplitude,robust,frequency,waveform,static_rmse_log10,screened,outside_domain,C_pF,S_e_mW_per_K,tau_th_ns,T0_K,Tc_K,w_K,beta_per_K,gamma,Rs_315K_ohm,Ea_over_k_K,Rm_ohm
static_preserving,71,52.43192870799976,39.44676656409045,13.896985190026673,2.211825347252874,2.5078868901274434,0.32117908200846457,23.20093766291697,0.1007652869952417,False,False,7.298545440786761,0.004777900314262938,18.722598759351836,314.306053399737,333.72696441869124,9.462330275670013,0.3343829089935525,0.14790714240320377,2190.471249885003,2661.7811987676614,20.530263857542476
static_preserving,72,53.173093416000484,34.53326983237881,16.71573431215469,3.6559300581060046,3.2679400832031584,0.04376352872375449,30.97334633403774,0.047169398835083406,False,False,2.6439640921891785,0.0049645446528532935,11.94795378089135,314.23144106688466,333.5039067878958,6.676572049269758,0.27886023920432795,0.263085897409621,2503.9434228818614,2589.201842335381,19.655425406357207
static_preserving,73,53.91827729099896,17.176177993668013,6.829634089114399,1.6005554461115448,1.5655827180861939,0.13033308119237413,13.262049686131416,0.0494603901340292,False,False,5.753024100262823,0.00373766559525938,15.859707975521072,314.5309907109604,333.31164381714086,6.371353450883506,0.2800453986889074,0.17568133847794906,2447.6992863634123,2575.1260666032454,20.063832211131665
static_preserving,74,54.65978833299596,59.95845554285528,21.853762550025646,4.794372676877136,5.275646079193392,0.4032436391980819,41.71414847944949,0.10678338782146135,False,False,6.835494476281912,0.0061368181475618695,11.908706376291862,314.8911811552534,334.55317440923073,5.0489825676261555,0.27591600462919785,0.1569637099004186,2273.4863505430226,2513.0890552662595,20.914367354873935
static_preserving,75,55.671213207999244,35.26474821499518,13.409999093641177,3.9709261612765374,2.901264364319777,0.00989389500571241,28.22898888929342,0.06631251449435166,False,False,0.6047948536407561,0.004438453026704732,17.459033563954602,314.4574428807876,335.06967647409,6.135526391180552,0.38781993622546695,0.22861333154715016,2332.6244173981463,2575.8201239047503,18.932213462810363
static_preserving,76,56.42515558299783,142.5076906451895,70.835101848437,3.342176089910159,3.2163342462643763,0.46614177027634024,84.31103524957004,0.19071683098841113,False,False,1.8626307575345087,0.00831883096009962,11.253169817323808,311.0579147561844,332.74760056140684,8.923790351851386,0.27320064305885167,1.1514299566535968,2142.673821077648,2409.172127644588,35.029049474646776
static_preserving,77,57.30389462499443,185.7535884426929,18.08901321198416,4.2628697827309665,3.7379352348601316,0.003704158262406316,34.617409874168395,0.3073436376522667,False,False,0.6991838263309376,0.0017524232416023637,24.714457099539985,314.012595842295,331.50741719998206,10.090335088694623,0.1939415861156531,0.7915840228601009,2513.3391379829973,2955.794263253414,54.4252311733261
static_preserving,78,58.33665249999467,125.70006597632643,6.83576103214963,3.393321603433374,3.2498726434251606,0.05498807510210176,20.293092523425965,0.256669745798103,False,False,3.957196083470536,0.004331609140076607,15.193567766694485,314.4125707563762,333.21940290806856,5.668888951017822,0.1623615165007469,0.19758492913686873,2505.4954571845783,2720.660654497211,36.4928060117212
static_preserving,79,59.17739691599854,59.157967961621395,17.147411978930034,3.864767147709148,3.021757708165202,0.02302751750888569,31.774984888977126,0.13082188051087887,False,False,0.08610884298052884,0.004362517572528904,10.7780352432859,311.7436504060808,332.7833783006594,4.420972868427684,0.39410457710832686,1.0787943651299525,2416.683607770094,1970.6232261889388,18.996954970843355
static_preserving,80,60.1566020829996,10076.868519654628,12.807062894179035,5.285634976657622,5.515047074681394,6.645556760115478,37.50179327889104,0.15685727265522548,False,True,27.400382329556788,0.004987401413446104,27.63235638117639,314.2202907046759,333.03476638146964,2.900857275538746,0.2330621453980432,0.1297601531555983,2414.309983117293,2559.885133108149,11.782754204368773
static_preserving,81,60.98738787500042,42.84483216027876,13.651527607000393,4.111306121162922,2.956154288000451,0.11226449427660673,28.997732505627916,0.09302922811760173,False,False,1.062565189656688,0.004342222175992585,5.045668132640056,314.2418178395148,334.81032396157985,7.231310696457368,0.2837853845856017,0.16468936094326914,2413.7952612693007,2446.1695394170133,16.944534268640005
static_preserving,82,61.69074162499601,60.47124689400759,8.635666016299588,4.207182250610973,3.3020543543042193,0.005194930876632252,24.561864587875043,0.14981109418642147,False,False,0.317168870043528,0.0029422837035802773,17.056150763569345,314.67131804973616,333.04596543563946,6.308852974966397,0.32772488307630077,0.119058103764706,1735.8774210441843,2552.975479163047,20.51812985982022
static_preserving,83,62.43216254100116,10044.206276933157,14.3308272249211,1.3390177598632924,1.5173686111652165,0.9200864083355005,20.325292319843943,0.12217043579901021,False,True,7.952722510441234,0.004607035823149455,20.99901992585241,314.4493708649159,333.7528314440709,8.625782185512888,0.2760547216252959,0.164777755981496,3106.649795405658,2654.384532557596,22.113749571856047
static_preserving,84,63.16020312500041,10104.493751262686,15.9735201472049,8.027772900912238,8.061737729440882,4.622692911406609,50.42992303508579,0.1838202726639521,False,True,22.753309277599154,0.006726825008018061,10.422467887636763,314.5924218597572,332.46358594315467,3.726188460427355,0.23942757094034897,0.9473533712760207,2431.868281184798,2605.3944695251266,9.663176902078215
static_preserving,85,63.89506304099632,42.95892273331965,12.348609093581143,3.6499583043506325,3.375656195106453,0.045051134523230424,26.696665769001104,0.10081622192236274,False,False,2.4108563371344753,0.004318298692044184,14.87499494711317,313.7744479123231,333.22017817587636,6.437082724921404,0.21261355027408513,0.2180201593443918,2659.141595773058,2539.921107837652,19.62005207210517
static_preserving,86,64.77101425000001,10116.163164519474,27.521701429082764,3.7991480645126847,3.2220190983567183,0.975195341577193,42.62876239176613,0.21438050594635974,False,True,0.3822149147442956,0.0013130440082502106,8.887655847447041,314.0495496494145,330.5127879290037,8.995569890144935,0.15763459442078254,1.3978365708869578,3324.1266924087686,2735.8580776425715,7.80209220591391
static_preserving,87,64.77114441600133,10214.773170919014,0.0,0.0,0.0,0.0,0.0,0.36637853624957845,True,False,14.754080770629288,0.0069917281229499835,23.03495184085194,315.3880420103146,335.7581571439273,4.998418394089846,0.6782968535099974,0.12837133231145906,1672.8773663383245,2224.3398719585944,5.775093719046764
static_preserving,88,65.50976179099962,39.39924052328767,5.008570308400382,4.305812238922371,3.572677000409303,0.006711086774849006,21.502039568964225,0.10576270891222558,False,False,0.9802200765365985,0.0032048869797351607,13.270069632412218,314.9066009487687,332.95930125579014,7.622634833351275,0.22524597850046382,0.17826237137790463,2271.870706320942,2385.0718829979205,12.670846023169231
static_preserving,89,66.23926424999809,127.02614778086566,12.868711112641062,4.168927973648463,3.6220744319962432,0.03313259161168916,29.01413576138854,0.24750254041559494,False,False,1.6255323615894202,0.0044905803393646415,14.618908586240778,314.1947864763085,333.1953986062984,7.918715491474995,0.19732365100658938,0.4375079203135642,2719.5056668174316,2804.9022197983822,40.331629867895025
static_preserving,90,67.00922049999645,65.56401554468704,8.683101900693385,4.769250549405822,4.5537459335266215,10.605361987349506,32.847280476112225,0.1429963615546188,False,False,4.836380628562794,0.004261853072743309,7.519638969834104,314.40652766736036,334.34771297644613,6.645964475720422,0.3405383504271399,0.1951843398808865,1617.9092782649748,2503.6847939858644,18.954075682543646
static_preserving,91,67.76291437499458,10031.666511610885,8.2021582257874,1.3113073347722821,1.5993217040767136,0.6645836917098755,14.067693780035897,0.10487736240142752,False,True,7.952722510441234,0.004089382851744544,23.49202937719306,314.6587286428852,332.82321797587326,4.710003792911937,0.2760547216252959,0.14123649732493235,3106.649795405658,2297.1754922713476,21.36538175222867
static_preserving,92,68.50150700000086,47.41067557372243,7.9979180341236535,3.378599822709731,3.0486328926490938,0.05246789341576711,21.20858434160982,0.127969945768803,False,False,2.3056569679393117,0.004199663033169946,29.498652487730325,312.7244391068539,333.98371509554755,6.185394383813461,0.3101000739464109,0.2602961487678173,1730.7693846457137,2548.939730542007,20.70142031307538
static_preserving,93,69.24027550000028,28.889119648756807,7.2236185649675555,3.801518261053825,3.158873569261628,0.7248515901777358,22.14947271247953,0.06490207496816491,False,False,0.9048701823536582,0.0037239769835150775,8.728474824822836,314.6045385411332,333.991621038889,6.886290957416353,0.26922310399919536,1.2477101190011293,2445.3971777118313,2453.766395637594,18.337670692834344
static_preserving,94,69.98863791599433,10049.30726772984,5.946586182194562,4.550334486244605,4.164242757540525,2.9815800346028687,25.252622415770336,0.12261383821287772,False,True,9.560034394068051,0.004322570383189175,18.289060684904683,314.5638221101574,334.2191237428473,5.41929894042448,0.22148001959717442,1.4487573322225256,2451.0800164349425,2658.815452976578,18.833228137710048
static_preserving,95,70.69802666599571,47.0268926864923,20.8581660503283,3.6063609988249588,2.7466082178322506,0.012486195012024193,34.430100362141445,0.08872990027448069,False,False,0.44428064537583667,0.0046042835931057405,18.901660822370836,311.27434827156213,333.72696441869124,8.854690480039359,0.32517516453881234,0.17698105161740038,2183.776702481092,2406.846513325288,20.530263857542476
static_preserving,96,71.41971266600012,10043.293954864585,15.127761079283264,4.794846297446562,4.96627479933663,6.54371700263269,37.75043327227593,0.05886171077358055,False,True,24.658545215100215,0.0049645446528532935,25.372651644283636,314.23144106688466,333.5039067878958,6.676572049269758,0.28886569932810846,0.263085897409621,2449.512186258236,2589.201842335381,21.535514666119433
static_preserving,97,71.42003858299722,17.176177993668013,6.829634089114399,1.6005554461115448,1.5655827180861939,0.13033308119237413,13.262049686131416,0.0494603901340292,False,False,5.753024100262823,0.00373766559525938,15.859707975521072,314.5309907109604,333.31164381714086,6.371353450883506,0.2800453986889074,0.17568133847794906,2447.6992863634123,2575.1260666032454,20.063832211131665
static_preserving,98,72.14490699999442,26.02381035428661,6.226749341801269,4.194557646407424,3.2955728204132138,0.007373890626516523,22.109682046750013,0.0494603901340292,False,False,0.6996293788415456,0.00373766559525938,15.859707975521072,314.5309907109604,333.31164381714086,6.371353450883506,0.2800453986889074,0.17568133847794906,2447.6992863634123,2575.1260666032454,20.063832211131665
static_preserving,99,72.87328983299813,25.793610610672168,9.160882352757723,3.219362690084374,3.036214927534104,0.048593905181244006,21.87948230313557,0.0494603901340292,False,False,3.573320497403249,0.00373766559525938,15.859707975521072,314.5309907109604,333.31164381714086,6.371353450883506,0.2800453986889074,0.17568133847794906,2447.6992863634123,2575.1260666032454,20.063832211131665
static_preserving,100,73.61210541599576,10016.008465937311,6.018442578524219,1.3686315102592053,1.6267763369366675,0.6864483670714487,12.094337629774227,0.0494603901340292,False,True,9.789625354764137,0.00373766559525938,15.859707975521072,314.5309907109604,333.31164381714086,6.371353450883506,0.2800453986889074,0.17568133847794906,2447.6992863634123,2575.1260666032454,20.063832211131665
static_preserving,101,74.36905320799997,26.374502284962077,6.397267720936274,4.149197610600208,3.604768980595056,0.021488888187060757,22.46037397742548,0.0494603901340292,False,False,1.5811685359307388,0.00373766559525938,15.859707975521072,314.5309907109604,333.31164381714086,6.371353450883506,0.2800453986889074,0.17568133847794906,2447.6992863634123,2575.1260666032454,20.063832211131665
static_preserving,102,75.10106816599728,20.568826115589662,6.860530574284002,2.5279395279506787,2.1697927001924406,0.08111189944916597,16.654697808053065,0.0494603901340292,False,False,5.251171962871744,0.00373766559525938,15.859707975521072,314.5309907109604,333.31164381714086,6.371353450883506,0.2800453986889074,0.17568133847794906,2447.6992863634123,2575.1260666032454,20.063832211131665
static_preserving,103,75.85435599999619,16.4254443342343,6.895121422010822,1.3586654122126838,1.4138493696816452,0.25269799673436855,12.511316026697703,0.0494603901340292,False,False,6.661649854434912,0.00373766559525938,15.859707975521072,314.5309907109604,333.31164381714086,6.371353450883506,0.2800453986889074,0.17568133847794906,2447.6992863634123,2575.1260666032454,20.063832211131665
static_preserving,104,76.58495566599595,10013.58957236174,5.64255341189371,0.9336563271749867,0.9849577321541155,0.49392785726067845,9.675444054203124,0.0494603901340292,False,True,7.716858032658704,0.00373766559525938,15.859707975521072,314.5309907109604,333.31164381714086,6.371353450883506,0.2800453986889074,0.17568133847794906,2447.6992863634123,2575.1260666032454,20.063832211131665
