window,start_ns,stop_ns,mean_mV,vpp_mV,robust_vpp_mV,periodic_vpp_mV,coherence,candidate,dt_ns,source_mV,split
0,50.0,100.0,108.96623642125385,1.166862094025106,1.0509502746003108,0.16060938179352902,0.022476731565872043,frozen,0.025,1200.0,train
1,100.0,150.0,108.91651465323052,1.1535042143593301,0.9862492222149513,0.08030981457071666,0.006036670151478463,frozen,0.025,1200.0,train
2,150.0,200.0,108.90136658029307,1.0569353307475922,0.930800582701039,0.16223901899816887,0.02356135531490222,frozen,0.025,1200.0,train
3,200.0,250.0,108.88949517511655,1.1484464153659246,1.0442323690397757,0.06680765261197451,0.003407566224287062,frozen,0.025,1200.0,train
0,50.0,100.0,95.40724211735022,3.15240473304884,2.7091490701163536,0.544690680812611,0.038676012915248026,frozen,0.0125,50.0,validation
1,100.0,150.0,95.68546670638261,2.678208583619707,2.2018470692198946,0.8647313991760227,0.10658136717129607,frozen,0.0125,50.0,validation
2,150.0,200.0,95.51370959785457,2.768190568649686,2.4823130944630947,0.23264390436634622,0.009645736941801264,frozen,0.0125,50.0,validation
3,200.0,250.0,95.91853854645387,2.5396466968110047,2.3184180023935426,0.2055293514350437,0.008867048920818021,frozen,0.0125,50.0,validation
0,50.0,100.0,178.30542439642247,2.574833389368223,2.236162148191312,2.487281640022834,0.05434555691365772,frozen,0.0125,100.0,train
1,100.0,150.0,178.34692776334694,2.818893689025998,2.5015326401488664,2.1489882853479054,0.06599150250323893,frozen,0.0125,100.0,train
2,150.0,200.0,178.41121163634298,2.66522831491892,2.3744764963722673,0.8256347625231945,0.010024831054569083,frozen,0.0125,100.0,train
