C_pF,C_th_pJ_per_K,S_e_mW_per_K,name,gamma,replay_step_ns,source_file,source_setting_mV,current_uA,temperature_min_K,temperature_max_K,temperature_mean_K,measured_resistance_mean_ohm,replayed_resistance_mean_ohm,resistance_rmse_ohm,resistance_log_rmse,fraction_above_major_heating_branch,late_invalid_resistance_fraction,outside_temperature_calibration_fraction,smoothing_window
0.39,0.092623508,0.0036751265,upper_Cth,0.1569637099,0.5,600mv0_converted.csv,600.0,458.3699322834958,337.3668350396248,337.79701254624223,337.57123535322063,406.2137219772026,609.1170340056467,205.41516166136864,0.4106695398766668,0.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.1569637099,0.5,650mv0_converted.csv,650.0,495.4173600492479,339.01004603798634,339.3467487604582,339.186268165615,371.71004807550025,308.2963404891515,65.83292908739989,0.19430858534701503,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.1569637099,0.5,700mv0_converted.csv,700.0,533.4180352284689,340.60579893627124,340.91235720515056,340.76627962429785,340.7151551339026,142.91741520343442,198.07815110868742,0.8701911888761058,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.1569637099,0.5,750mv0_converted.csv,750.0,570.4337430744487,342.38737864087415,342.62316863668144,342.49232892989113,317.67631504893757,63.701077225184676,254.09107960117237,1.6072794515305922,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.1569637099,0.5,800mv0_converted.csv,800.0,606.6551780288738,344.1877084192921,344.334152024176,344.2590487552981,298.2108713285761,33.80507304880879,264.43475150138056,2.1772196020866716,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.1569637099,0.5,850mv0_converted.csv,850.0,646.2233016263873,346.0431674023627,346.3005810535329,346.1527256010942,279.40774791155536,23.018682951974398,256.39871516822393,2.496396126721581,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.1569637099,0.5,900mv0_converted.csv,900.0,682.8259268820619,347.3145425886706,347.49963052103345,347.4227439163849,260.6128530389083,20.43293337302633,240.18583423941377,2.5458861142567515,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.1569637099,0.5,950mv0_converted.csv,950.0,722.372921341621,348.99698981003866,349.3253440859524,349.18487835217127,245.00311323851165,18.95657263651933,226.05349999444044,2.5591098353473787,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.5,0.5,1000mv0_converted.csv,1000.0,759.2191989197131,350.3239035662452,350.62274502771066,350.5172026025015,230.55558060730556,18.52930474989485,212.03640703626337,2.5211146616966182,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.5,0.5,100mv0_converted.csv,100.0,76.17083384633712,317.9183576780293,317.9645603440955,317.94385972308123,2245.5564588875172,2350.9217323831995,107.9445643078193,0.04708133329346171,0.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.5,0.5,1100mv0_converted.csv,1100.0,834.7865599618726,354.0688246140594,354.2922365938447,354.20057680153866,209.96291429798154,18.24808651385921,191.73459597843777,2.4428199257337213,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.5,0.5,1200mv0_converted.csv,1200.0,908.6058899457871,356.9204625337599,357.2684606352398,357.1092970141964,190.4078320014925,18.220654459282905,172.2058976829487,2.3465614240958224,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.5,0.5,150mv0_converted.csv,150.0,114.17150902555795,321.811182167639,321.87374163010156,321.84439258016755,2105.387001524954,2135.675778832766,33.03518550392298,0.015617441291168889,0.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.5,0.5,200mv0_converted.csv,200.0,152.35217904164247,326.6266658230721,326.75185822008086,326.72068715869665,1957.2703914348324,1896.7169709158416,61.35116591063144,0.031812428180952715,1.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.5,0.5,250mv0_converted.csv,250.0,189.60094286792295,330.7605601442038,330.9408264423609,330.8792823496039,1680.6169070790982,1681.4088424833694,5.269111110116817,0.0031339846652693204,0.40594059405940597,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.5,0.5,300mv0_converted.csv,300.0,228.7136509323431,328.5137809612165,329.4533442256637,328.9691973430048,1017.9021323048438,1786.5017694152227,781.9307205948917,0.5898573637254068,0.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.5,0.5,350mv0_converted.csv,350.0,267.07439601247086,327.5530991017443,328.70829682061265,328.0948282148712,711.7171214286312,1826.848522828357,1123.079210389654,0.9795868953552352,0.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.5,0.5,400mv0_converted.csv,400.0,303.3911472089279,329.62385497642106,330.56780564858275,330.1079763368657,618.8494207894227,1724.2538397760675,1109.3745969667548,1.0466633748055665,0.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.5,0.5,450mv0_converted.csv,450.0,341.9425303334189,331.2788946585987,332.04492861109395,331.6702363741402,543.6778432052596,1619.2006485438583,1077.3415990432034,1.1034597287838241,0.0,0.0,0.0,
0.39,0.092623508,0.0036751265,upper_Cth,0.5,0.5,500mv0_converted.csv,500.0,381.06588239966646,333.32824120230043,333.9386604967586,333.63188785267783,488.4121672435573,1412.2356827235458,924.9303641903289,1.0691680349975188,0.0,0.0,0.0,
