candidate_id,C_pF,tau_th_ns,C_th_pJ_per_K,gamma,mean_feature_score,sustained_currents,worst_feature_score
51,2.0,9.0,0.03341485839084481,0.5,72.88186422514,0,108.34209517196223
72,2.0,18.0,0.06682971678168961,0.5,73.00709966986967,0,108.44270541577188
93,2.0,9.0,0.03341485839084481,0.956269682,73.37835351930866,0,107.53014407907413
58,2.0,11.90870637629186,0.0442141930202159,0.5,73.56700220980842,0,109.48272345728374
9,2.0,9.0,0.03341485839084481,0.1569637099004186,73.7580647739218,0,108.73699699317571
65,2.0,13.026,0.04836243837768271,0.5,73.7702195647145,0,109.65310824891242
37,2.0,24.0,0.0891062890422528,0.1569637099004186,73.92311173129053,0,112.74541825881688
100,2.0,11.90870637629186,0.0442141930202159,0.956269682,74.15316246409338,0,108.15022925580745
107,2.0,13.026,0.04836243837768271,0.956269682,74.30910282950117,0,108.26546919691906
79,2.0,24.0,0.0891062890422528,0.5,74.40271866219223,0,112.1561841546119
114,2.0,18.0,0.06682971678168961,0.956269682,74.43592785359397,0,109.03764971649524
121,2.0,24.0,0.0891062890422528,0.956269682,76.70239756124143,0,111.44743118138119
24,4.0,13.026,0.04836243837768271,0.1569637099004186,77.2165025307553,0,117.60359331474623
124,8.0,24.0,0.0891062890422528,0.956269682,78.43455827804343,0,103.33216804661637
81,6.835494476281913,24.0,0.0891062890422528,0.5,80.72039050213591,0,101.02059504148609
31,4.0,18.0,0.06682971678168961,0.1569637099004186,81.23655168766537,0,115.95184940095861
66,4.0,13.026,0.04836243837768271,0.5,81.79432307673149,0,118.57643721533485
115,4.0,18.0,0.06682971678168961,0.956269682,81.86452801576931,0,118.28672779114511
73,4.0,18.0,0.06682971678168961,0.5,82.18894782593209,0,118.52576295864074
38,4.0,24.0,0.0891062890422528,0.1569637099004186,82.26782760974217,0,119.34778074984091
59,4.0,11.90870637629186,0.0442141930202159,0.5,82.6723164662816,0,119.86763241741471
108,4.0,13.026,0.04836243837768271,0.956269682,82.8399489295441,0,116.10422330850318
52,4.0,9.0,0.03341485839084481,0.5,82.97295618368945,0,121.07290866990931
