source_setting_mV,current_uA,legacy_detected,legacy_frequency_MHz,late_frequency_MHz,late_peak_frequency_MHz,late_peak_period_cv,late_mean_mV,late_vpp_mV,late_robust_vpp_mV,late_periodic_vpp_mV,late_coherence,minimum_window_periodic_vpp_mV,amplitude_retention,sustained,amplitude_ratio,frequency_relative_error,frequency_comparable,mean_error_mV,retention_log_error,feature_score,candidate,dt_ns
150.0,114.17150902555795,False,,21.544779267565524,,,243.66885257426446,0.42369988780424706,0.3285410083225031,0.09924984237744905,0.3785370126878558,0.012888327305301742,0.03040847882336411,False,0.08079009696613967,1.0,False,3.4064126435714,-4.079327655072807,37.9288324535038,best_features,0.025
200.0,152.16154020295048,False,,20.28214976557796,,,291.76880819386986,0.8011759761020585,0.7018136754155648,0.2783877755149776,0.8376513897481249,0.21919983821622546,0.04520373839414801,False,0.18212842565411347,1.0,False,-6.323208311080634,-2.5704051989346266,31.31597117624806,best_features,0.025
250.0,189.60094286792295,False,,18.5711252984602,,,321.09466920245933,0.453710538262726,0.35729993676284266,0.18147707530892174,0.47025501802062564,0.16674055628365808,0.007600598162458794,False,0.15225633304761704,1.0,False,1.6199457668158175,-3.403466900438137,32.65765084525602,best_features,0.025
300.0,228.15229898524512,True,27.027027027027028,29.70038711995021,29.41176470588235,0.08823529411764706,245.87227021880537,282.47258370603436,240.13593839844322,186.10001298611925,0.7308965935791829,162.0218087104419,0.7537353945010086,True,2.6353812379109227,-0.2786536704259239,True,13.159399258409309,-0.374770149225478,8.896465897570378,best_features,0.025
350.0,266.70376233691485,True,31.25,30.668579815119564,30.76923076923077,0.13846153846153847,246.15953241684906,353.96946125647656,344.2476681696182,241.48165616086476,0.6112690185805904,195.37558955462183,0.806391133421849,True,3.431495894832717,-0.28001670584766425,True,56.22105090199753,-0.06799708587999911,14.98955550762515,best_features,0.025
400.0,303.2005083702369,True,35.714285714285715,35.196049762294855,35.714285714285715,0.03571428571428571,216.34302342130948,381.88202727047684,372.13721999394375,294.801925034144,0.6542003033669139,207.71690052011982,1.0116741647877363,True,4.704244014652915,-0.23131746184310187,True,28.35794520348773,0.07427529742635468,19.202591890608762,best_features,0.025
450.0,341.5718172250129,True,43.47826086956522,41.67538338384225,41.666666666666664,0.05125558064073892,203.40063005991504,393.58939227142315,384.0977214331496,305.060171725288,0.6687555089196344,306.0013542447637,1.0005034890296511,True,6.539692498687281,-0.14819895955984252,True,17.381354485657596,0.0580940846946483,26.087438785680494,best_features,0.025
500.0,380.88580812995247,True,46.51162790697674,45.955376308497506,41.666666666666664,0.10553832555023099,193.0989473660306,390.2283940479265,378.43265406807757,273.1662344832334,0.5635414353472239,264.23049885959114,0.9984585157764344,True,8.52836731167947,-0.1075864845391501,True,6.841521623456316,0.12227358652947935,33.0484067865435,best_features,0.025
550.0,419.0559644140832,False,,58.09269931387902,62.5,0.13795340470068912,177.203332166978,366.4102076964778,347.0381220178348,210.77711531236693,0.4289780802343912,166.63865671016237,1.1627355064569347,True,10.053248030644118,0.08363809054537863,True,-7.912180047576442,0.22263286228885373,37.74631804644277,best_features,0.025
600.0,457.8085803363978,True,64.51612903225806,64.64818787582719,62.5,0.03140371465106639,144.14538696509405,274.85935332229883,269.89645614508953,255.54769416599942,0.817731561977383,246.2000629935149,1.01699372780899,True,10.493641374225877,0.15959615830663587,True,-41.98358864579703,0.1293653332430177,39.87190193591268,best_features,0.025
