window,start_ns,stop_ns,mean_mV,vpp_mV,robust_vpp_mV,periodic_vpp_mV,coherence,source_setting_mV,current_uA,candidate_id,C_pF,tau_th_ns,C_th_pJ_per_K,gamma
1,100.0,150.0,184.71510479309774,324.2034846638798,303.60763261380487,142.24884891448258,0.339652558964762,500.0,380.88580812995247,34,12.0,18.0,0.06682971678168961,0.1569637099004186
2,150.0,200.0,213.1273825127002,285.0039902286687,265.0499596981981,187.34523309658306,0.7233745683802496,500.0,380.88580812995247,34,12.0,18.0,0.06682971678168961,0.1569637099004186
3,200.0,250.0,160.08847836096712,333.4422055654519,317.4289154349709,218.1136225482999,0.6536805749987946,500.0,380.88580812995247,34,12.0,18.0,0.06682971678168961,0.1569637099004186
0,50.0,100.0,115.22781381960608,145.41981314464132,130.93457788723612,130.15670553621277,0.9177608680333029,800.0,606.2950294894458,34,12.0,18.0,0.06682971678168961,0.1569637099004186
1,100.0,150.0,118.10951252518522,117.09915102321771,113.60941529750946,113.09012050539894,0.9509172762905385,800.0,606.2950294894458,34,12.0,18.0,0.06682971678168961,0.1569637099004186
2,150.0,200.0,112.37740060387587,113.62633392458326,109.69552077582796,113.08440439434449,0.948008025107808,800.0,606.2950294894458,34,12.0,18.0,0.06682971678168961,0.1569637099004186
3,200.0,250.0,120.89052257742748,112.04187117982087,110.60688373653865,111.5262069431385,0.9524520732930196,800.0,606.2950294894458,34,12.0,18.0,0.06682971678168961,0.1569637099004186
0,50.0,100.0,326.28827512483736,37.363767197676395,31.180798394566864,11.98017524277789,0.6215815784822816,300.0,228.15229898524512,35,0.0,24.0,0.0891062890422528,0.1569637099004186
1,100.0,150.0,318.26223836825574,2.8310086051614007,2.4026690492676153,0.2210364742424728,0.007760583159883483,300.0,228.15229898524512,35,0.0,24.0,0.0891062890422528,0.1569637099004186
2,150.0,200.0,318.1461709329602,3.086526510160297,2.9494410010132697,0.3637871887927744,0.016594479250347294,300.0,228.15229898524512,35,0.0,24.0,0.0891062890422528,0.1569637099004186
3,200.0,250.0,317.9617822716781,3.3627355925322036,2.6133913188683664,0.42082411669255904,0.020372984502529445,300.0,228.15229898524512,35,0.0,24.0,0.0891062890422528,0.1569637099004186
0,50.0,100.0,226.84640500171776,2.647293373134602,2.1450622297124653,1.1306789082822668,0.10978483227585467,500.0,380.88580812995247,35,0.0,24.0,0.0891062890422528,0.1569637099004186
1,100.0,150.0,226.25357482524848,1.5445486735000316,1.315184711504969,0.29306528034554513,0.0025779212312815325,500.0,380.88580812995247,35,0.0,24.0,0.0891062890422528,0.1569637099004186
2,150.0,200.0,225.96744700431216,1.5221940130973906,1.3777766792526336,0.1465603398825026,0.00037767956591638896,500.0,380.88580812995247,35,0.0,24.0,0.0891062890422528,0.1569637099004186
3,200.0,250.0,225.7370695840647,1.3151864280560517,1.1987580920422545,0.23157264976425246,0.0009928519052768703,500.0,380.88580812995247,35,0.0,24.0,0.0891062890422528,0.1569637099004186
0,50.0,100.0,153.61222192508612,1.2519654654428223,1.1935974917360284,0.6048047430715129,0.013172760009763307,800.0,606.2950294894458,35,0.0,24.0,0.0891062890422528,0.1569637099004186
1,100.0,150.0,153.39637183717824,1.1813449799662123,0.9865243147503406,0.2312077394306386,0.004582062165601641,800.0,606.2950294894458,35,0.0,24.0,0.0891062890422528,0.1569637099004186
2,150.0,200.0,153.32814373739404,1.165862086986948,1.0438582290239253,0.598447440719,0.04201969687262452,800.0,606.2950294894458,35,0.0,24.0,0.0891062890422528,0.1569637099004186
3,200.0,250.0,153.38253338686326,1.16845787876224,0.9487031158920445,1.1006644669340018,0.0445786433136266,800.0,606.2950294894458,35,0.0,24.0,0.0891062890422528,0.1569637099004186
0,50.0,100.0,325.9054407835496,38.16080272728874,31.667937109228035,12.559528871202776,0.6102379101981759,300.0,228.15229898524512,36,0.39,24.0,0.0891062890422528,0.1569637099004186
1,100.0,150.0,318.26569350761037,2.0803817584546778,1.8158026385310677,0.22689739411110355,0.020142211369481022,300.0,228.15229898524512,36,0.39,24.0,0.0891062890422528,0.1569637099004186
2,150.0,200.0,318.1336400484149,2.387078675465432,2.280247897660047,0.38783847788134085,0.04419185677960946,300.0,228.15229898524512,36,0.39,24.0,0.0891062890422528,0.1569637099004186
3,200.0,250.0,317.9772112569467,2.2502508392804543,1.9917154420325573,0.4212963189729343,0.049556333498355976,300.0,228.15229898524512,36,0.39,24.0,0.0891062890422528,0.1569637099004186
0,50.0,100.0,226.82462242660603,2.4025181772100836,1.9090612945796295,0.8722758537205937,0.08728730845021582,500.0,380.88580812995247,36,0.39,24.0,0.0891062890422528,0.1569637099004186
1,100.0,150.0,226.25501711645325,1.448511175931003,1.2888511667072748,0.09801532745610882,0.0003261152851584681,500.0,380.88580812995247,36,0.39,24.0,0.0891062890422528,0.1569637099004186
2,150.0,200.0,225.96368390360226,1.4170953371556436,1.261332454125835,0.023769768143192135,6.57604367971798e-05,500.0,380.88580812995247,36,0.39,24.0,0.0891062890422528,0.1569637099004186
3,200.0,250.0,225.74206099699668,1.177525647617415,1.0987904414154457,0.18413057626507562,0.0023042087543627687,500.0,380.88580812995247,36,0.39,24.0,0.0891062890422528,0.1569637099004186
0,50.0,100.0,153.6147897273318,1.3138499113554474,1.2371711599217008,0.6473484227589758,0.013265318082141375,800.0,606.2950294894458,36,0.39,24.0,0.0891062890422528,0.1569637099004186
1,100.0,150.0,153.39443342246102,1.2357685222615657,1.0107271052050635,0.24401443235129514,0.0033296676271938885,800.0,606.2950294894458,36,0.39,24.0,0.0891062890422528,0.1569637099004186
2,150.0,200.0,153.33007009860873,1.2066352147224677,1.0794946037175635,0.6498070431490307,0.04182914648426439,800.0,606.2950294894458,36,0.39,24.0,0.0891062890422528,0.1569637099004186
3,200.0,250.0,153.38960475425338,1.1958777326857444,0.9661880672937002,1.2660211065651454,0.049611447751346516,800.0,606.2950294894458,36,0.39,24.0,0.0891062890422528,0.1569637099004186
0,50.0,100.0,324.46622928063863,50.35984868883014,38.473823535568215,20.429590467074835,0.6003408009864123,300.0,228.15229898524512,37,2.0,24.0,0.0891062890422528,0.1569637099004186
1,100.0,150.0,318.2683048715106,1.0045180307229202,0.8852510543273411,0.3260046910197159,0.32042187273035605,300.0,228.15229898524512,37,2.0,24.0,0.0891062890422528,0.1569637099004186
2,150.0,200.0,318.1451862632221,1.131745055073452,1.054106579130348,0.5384424564150246,0.5011578460188444,300.0,228.15229898524512,37,2.0,24.0,0.0891062890422528,0.1569637099004186
3,200.0,250.0,317.9990961534097,0.9102799934564132,0.8282832984099286,0.49465191368924905,0.47610644548989867,300.0,228.15229898524512,37,2.0,24.0,0.0891062890422528,0.1569637099004186
0,50.0,100.0,223.4828670216065,2.2990102639990937,1.2944751669704715,3.745363670948804,0.24909120583853495,500.0,380.88580812995247,37,2.0,24.0,0.0891062890422528,0.1569637099004186
