window,start_ns,stop_ns,mean_mV,vpp_mV,robust_vpp_mV,periodic_vpp_mV,coherence,source_setting_mV,current_uA,candidate,dt_ns
2,150.0,200.0,96.02232998750915,1.409962401407384,1.1266658789687511,0.13289426659615655,0.01080460599923383,1000.0,756.6243660265701,reference,0.025
3,200.0,250.0,95.9990621968679,1.3598284273273578,1.1596708613165987,0.1173760864018149,0.005689047174434969,1000.0,756.6243660265701,reference,0.025
0,50.0,100.0,88.9757090419028,1.007013490389454,0.8619755233109316,0.09323046894754335,0.005710319400326513,1100.0,834.7865599618726,reference,0.025
1,100.0,150.0,88.83495948696769,1.010656048591855,0.8668413406156361,0.3663535186814168,0.0213858702420634,1100.0,834.7865599618726,reference,0.025
2,150.0,200.0,88.88714495723474,0.9530381109442061,0.7662408003211993,0.09765904996613498,0.0069125232227404965,1100.0,834.7865599618726,reference,0.025
3,200.0,250.0,88.69966376360739,0.9458165953508342,0.796346505544193,0.2841411134641129,0.0392098843773967,1100.0,834.7865599618726,reference,0.025
0,50.0,100.0,83.24791877920259,1.1785469808904878,1.056929529504572,0.1812863685205449,0.03244779145792953,1200.0,906.8051472486442,reference,0.025
1,100.0,150.0,83.13224874817233,1.0327772047172772,0.9233824136436226,0.07584303616804071,0.0069350156318668255,1200.0,906.8051472486442,reference,0.025
2,150.0,200.0,83.07595428714978,1.1182787042422007,0.9840671052788537,0.13181202103137227,0.018477944146457426,1200.0,906.8051472486442,reference,0.025
3,200.0,250.0,83.04279403338772,1.1295683308358093,0.9820166946260542,0.05548029890551846,0.0030206253528556326,1200.0,906.8051472486442,reference,0.025
0,50.0,100.0,94.2522195777571,4.078507583037521,3.4267900490241914,3.3380255761024276,0.93458003200791,50.0,37.99008122008859,reference,0.0125
1,100.0,150.0,95.73028073899182,0.5428871649094589,0.43549961200504583,1.095356494670096,0.5830262431258194,50.0,37.99008122008859,reference,0.0125
2,150.0,200.0,95.6643325558748,0.2304770622952077,0.18933325930994727,0.41670023333413697,0.1521620031483253,50.0,37.99008122008859,reference,0.0125
3,200.0,250.0,95.93768136555654,0.4780970761063372,0.4327388726568415,0.3252563803281344,0.33172343586284436,50.0,37.99008122008859,reference,0.0125
0,50.0,100.0,177.2446017483979,7.525637879240236,6.0113797712102155,8.82580675932398,0.9871703303938452,100.0,76.17083384633712,reference,0.0125
1,100.0,150.0,178.67007267434371,0.40021583302851127,0.3596253081363443,0.5014773682818191,0.31416328006701355,100.0,76.17083384633712,reference,0.0125
2,150.0,200.0,178.73646396609874,0.23081866031165532,0.20186340905007683,0.2649084869421573,0.05971137857872788,100.0,76.17083384633712,reference,0.0125
3,200.0,250.0,178.8195360676201,0.3961624864434157,0.34872340117397016,0.4301053106033952,0.1428960991152921,100.0,76.17083384633712,reference,0.0125
0,50.0,100.0,245.40635036749208,4.525840542825165,3.061704267869686,3.061092664423318,0.7919950215391289,150.0,114.17150902555795,reference,0.0125
1,100.0,150.0,243.53491189860145,0.4096926171579298,0.33638777686024923,0.2782611701574033,0.5799125277233975,150.0,114.17150902555795,reference,0.0125
2,150.0,200.0,243.64137517635746,0.31188136463890714,0.2618434410519228,0.21692755800671046,0.6614692968282918,150.0,114.17150902555795,reference,0.0125
3,200.0,250.0,243.75826987507173,0.2955356322801208,0.2526480311940418,0.011373253718038826,0.020364944686076525,150.0,114.17150902555795,reference,0.0125
0,50.0,100.0,296.67886439616973,12.882649737873749,12.739665714887565,3.425280201875522,0.9473490084879486,200.0,152.16154020295048,reference,0.0125
1,100.0,150.0,291.3661259315342,0.48583746893598345,0.4276333221042705,0.03518675750523056,0.06769914206118899,200.0,152.16154020295048,reference,0.0125
