window,start_ns,stop_ns,mean_mV,vpp_mV,robust_vpp_mV,periodic_vpp_mV,coherence,fit_mode,source_setting_mV
2,150.0,200.0,262.60747912068405,1.9852597860172523,1.711388869892005,0.31192082396161797,0.004390459555100867,constrained,450.0
3,200.0,250.0,262.33251533576737,1.869741718148191,1.7458159269544922,0.8486817021750532,0.024327875921307363,constrained,450.0
0,50.0,100.0,242.29570112552065,2.808663086074489,2.302325112515973,1.3299306269564024,0.10725281387153585,constrained,500.0
1,100.0,150.0,241.6630189921615,1.6552215117152969,1.4079795764059782,0.3277177172838247,0.002166272411733061,constrained,500.0
2,150.0,200.0,241.360333643987,1.5870906536164,1.4560330166576136,0.08446119916497494,0.0002772629612871613,constrained,500.0
3,200.0,250.0,241.12281446574602,1.3848446966219115,1.2679659577455027,0.22210230092813027,0.0008919239519633582,constrained,500.0
0,50.0,100.0,224.41770080637514,3.122836025694312,2.2338358976285235,0.45515259882865877,0.05976231930387299,constrained,550.0
1,100.0,150.0,223.80304501438698,1.8786780059695047,1.7983106327537826,0.24194740142768315,0.00802047650624782,constrained,550.0
2,150.0,200.0,223.5519531888366,1.6930334407257135,1.4614759763817347,0.052844229669528425,0.000385637166361974,constrained,550.0
3,200.0,250.0,223.3850797392172,1.7866964892313604,1.704128905562584,0.1627367757032041,0.006090341691501133,constrained,550.0
0,50.0,100.0,208.68056674817544,2.4295147101129544,1.850832977319726,1.3584823576223901,0.16543017375586322,constrained,600.0
1,100.0,150.0,208.0403681271756,1.0682629016820613,0.9226491713085068,0.09684166209400638,0.001832254154056745,constrained,600.0
2,150.0,200.0,207.96008193328677,1.356509511613666,1.1728186098705748,0.1764382607524452,0.001135732616379559,constrained,600.0
3,200.0,250.0,207.74338321152223,0.9649690806787987,0.866372974204836,0.27264817198455443,0.014712676106162115,constrained,600.0
0,50.0,100.0,195.61693155257,2.14478345003846,1.4815814721520155,1.9812209366892195,0.2191193898619016,constrained,650.0
1,100.0,150.0,195.1327284844718,0.9590380383379511,0.8769627594529936,0.19374019892738104,0.0021489842709213614,constrained,650.0
2,150.0,200.0,194.92471481890126,1.174760725012277,0.8230668435528798,0.285977079421786,0.022876773673064732,constrained,650.0
3,200.0,250.0,194.8222660922587,0.9433166612673176,0.8672562128780044,0.3739252158442346,0.021227353263685633,constrained,650.0
0,50.0,100.0,183.81715046315713,2.2814267491235114,1.6168065553770532,0.9828786402428993,0.122763750901412,constrained,700.0
1,100.0,150.0,183.35594099098438,1.1915560021386113,1.0415913989514536,0.6105470007654709,0.00614378602969845,constrained,700.0
2,150.0,200.0,183.13366386367332,1.268465770601722,1.1970404372329142,0.09996738115348733,0.0014634340253939504,constrained,700.0
3,200.0,250.0,183.0897812039085,1.0384633730727728,0.9313168583645393,0.8920874294400781,0.014717733426541368,constrained,700.0
0,50.0,100.0,173.40690402601342,1.8627775863033378,1.799983617181482,0.051815887055430616,0.0008834577297078816,constrained,750.0
1,100.0,150.0,173.31591798464905,1.7584870950391007,1.6918055902847868,0.022948044217722695,0.0002010906585336869,constrained,750.0
2,150.0,200.0,173.22054734754792,2.8413546546198347,1.937204792704847,0.7137460518385952,0.1480787863586518,constrained,750.0
3,200.0,250.0,173.31491847014135,1.6297272269951009,1.4980631165448983,0.06320913969552078,0.0016727454052276602,constrained,750.0
